,Unnamed: 0,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2,naver_map_url_df1
223,223,롯데컬처웍스(주)롯데시네마부산본점스위트샵,분식,051-810-3948,부산광역시 부산진구 부전동 503-15 10층,"부산광역시 부산진구 가야대로 772, 10층 (부전동)",387271.299492377,186099.137533193,영업/정상,,부산진구,부전동,부전동 롯데컬처웍스(주)롯데시네마부산본점스위트샵,부전동 롯데컬처웍스(주)롯데시네마부산본점스위트샵 051-810-3948,
224,224,소반,한식,051-8153355,부산광역시 부산진구 부전동 490-11번지 지상1층,"부산광역시 부산진구 서면로 71-1, 지상1층 (부전동)",387401.173467646,186151.933825052,영업/정상,https://pcmap.place.naver.com/restaurant/37961265/review/visitor#,부산진구,부전동,부전동 소반,부전동 소반 051-8153355,
237,237,베프,기타,051-8954666,부산광역시 부산진구 당감동 289-11,부산광역시 부산진구 동평로 93 (당감동),385766.095197489,187074.091779258,영업/정상,https://pcmap.place.naver.com/restaurant/37398917/review/visitor#,부산진구,당감동,당감동 베프,당감동 베프 051-8954666,
240,240,돈아돈아돈아,식육(숯불구이),051-6331700,부산광역시 부산진구 범천동 844-48번지,부산광역시 부산진구 중앙번영로 10-1 (범천동),387686.632078071,184784.440823057,영업/정상,,부산진구,범천동,범천동 돈아돈아돈아,범천동 돈아돈아돈아 051-6331700,
242,242,마당쇠소금구이,식육(숯불구이),051-892-2629,부산광역시 부산진구 가야동 602-12번지,부산광역시 부산진구 가야공원로 40 (가야동),384899.458480417,185302.9635507,영업/정상,https://pcmap.place.naver.com/restaurant/676615796/review/visitor#,부산진구,가야동,가야동 마당쇠소금구이,가야동 마당쇠소금구이 051-892-2629,
243,243,맛있는 고기에 솜씨를 더하다,식육(숯불구이),051-896-2282,부산광역시 부산진구 당감동 754-1,부산광역시 부산진구 당감서로 89 (당감동),385454.670775094,187357.360720881,영업/정상,https://pcmap.place.naver.com/restaurant/1141612468/review/visitor#,부산진구,당감동,당감동 맛있는 고기에 솜씨를 더하다,당감동 맛있는 고기에 솜씨를 더하다 051-896-2282,
244,244,네네치킨,통닭(치킨),051-8928866,부산광역시 부산진구 가야동 612-24번지,부산광역시 부산진구 냉정로 262-1 (가야동),384777.093324773,185405.189497747,영업/정상,,부산진구,가야동,가야동 네네치킨,가야동 네네치킨 051-8928866,
249,249,바이올렛,기타,051-8054440,부산광역시 부산진구 부전동 165-1 (6층),"부산광역시 부산진구 서전로10번길 50 (부전동,(6층))",387608.884860156,186003.493572324,영업/정상,,부산진구,부전동,부전동 바이올렛,부전동 바이올렛 051-8054440,
250,250,보배반점 부산당감점,식육(숯불구이),051-891-9254,"부산광역시 부산진구 당감동 175-2 삼익아파트상가 107,108호","부산광역시 부산진구 당감로 5, 107,108호 (당감동, 삼익아파트상가)",385699.435124042,186652.915622764,영업/정상,https://pcmap.place.naver.com/restaurant/38275624/review/visitor#,부산진구,당감동,당감동 보배반점 부산당감점,당감동 보배반점 부산당감점 051-891-9254,
252,252,가야공원돼지국밥,한식,051-8916494,"부산광역시 부산진구 가야동 484-3번지 (1층,2층)","부산광역시 부산진구 가야공원로 66 (가야동,(1층,2층))",384913.221105345,185045.843387799,영업/정상,,부산진구,가야동,가야동 가야공원돼지국밥,가야동 가야공원돼지국밥 051-8916494,
256,256,청해식당,한식,051-8963121,부산광역시 부산진구 개금동 447-28번지,부산광역시 부산진구 백양대로 318-8 (개금동),383698.779725489,185781.998599035,영업/정상,https://pcmap.place.naver.com/restaurant/16689221/review/visitor#,부산진구,개금동,개금동 청해식당,개금동 청해식당 051-8963121,
258,258,싱싱푸드,한식,051-805-4574,부산광역시 부산진구 전포동 178-14번지,부산광역시 부산진구 전포대로276번길 24 (전포동),388248.474697796,186623.281283026,영업/정상,,부산진구,전포동,전포동 싱싱푸드,전포동 싱싱푸드 051-805-4574,
261,261,준코,호프/통닭,051-8651181,부산광역시 부산진구 양정동 353-12번지,부산광역시 부산진구 중앙대로 900 (양정동),388485.246432899,187658.396387017,영업/정상,,부산진구,양정동,양정동 준코,양정동 준코 051-8651181,
263,263,모히또,호프/통닭,051-892-0115,부산광역시 부산진구 가야동 596-12,부산광역시 부산진구 가야공원로 34 (가야동),384896.288234518,185355.728314968,영업/정상,https://pcmap.place.naver.com/restaurant/33562467/review/visitor#,부산진구,가야동,가야동 모히또,가야동 모히또 051-892-0115,
269,269,봄베이브로이,경양식,051-804-5530,부산광역시 부산진구 부전동 220-6 지상2층,"부산광역시 부산진구 중앙대로680번길 45, 지상2층 (부전동)",387789.959512399,185769.404732819,영업/정상,https://pcmap.place.naver.com/restaurant/37411580/review/visitor#,부산진구,부전동,부전동 봄베이브로이,부전동 봄베이브로이 051-804-5530,
273,273,피자일병치킨병장 놈X4바삭한놈들,통닭(치킨),051-8976293,부산광역시 부산진구 당감동 72-8번지,부산광역시 부산진구 가야대로703번나길 7 (당감동),386522.400407045,186240.971598989,영업/정상,,부산진구,당감동,당감동 피자일병치킨병장 놈X4바삭한놈들,당감동 피자일병치킨병장 놈X4바삭한놈들 051-8976293,
279,279,한산도,한식,051-893-7728,부산광역시 부산진구 당감동 356-4 1층,"부산광역시 부산진구 동평로55번길 3, 1층 (당감동)",385388.207789811,187029.992029016,영업/정상,https://pcmap.place.naver.com/restaurant/31720253/review/visitor#,부산진구,당감동,당감동 한산도,당감동 한산도 051-893-7728,
281,281,술담&멕시칸푸드,기타,051-9023065,부산광역시 부산진구 가야동 437-41번지,"부산광역시 부산진구 대학로 52, 지상1층 (가야동)",385371.783037455,185453.48838329,영업/정상,,부산진구,가야동,가야동 술담&멕시칸푸드,가야동 술담&멕시칸푸드 051-9023065,
290,290,구도로통닭 서면점,한식,051808-8655,부산광역시 부산진구 부전동 168-151 지상1층,"부산광역시 부산진구 서전로10번길 39, 지상1층 (부전동)",387634.028305087,186049.001344272,영업/정상,https://pcmap.place.naver.com/restaurant/1065578284/review/visitor#,부산진구,부전동,부전동 구도로통닭 서면점,부전동 구도로통닭 서면점 051808-8655,
291,291,티바 두마리 치킨 부암 연지점,한식,051-8034416,부산광역시 부산진구 연지동 38-32번지,부산광역시 부산진구 성지로8번길 41 (연지동),387436.253346113,187813.476413449,영업/정상,,부산진구,연지동,연지동 티바 두마리 치킨 부암 연지점,연지동 티바 두마리 치킨 부암 연지점 051-8034416,
292,292,서민식당,한식,051-8045566,부산광역시 부산진구 초읍동 292-2 (3층),"부산광역시 부산진구 초읍천로 110, 3층 (초읍동)",386363.316976814,188866.519280974,영업/정상,,부산진구,초읍동,초읍동 서민식당,초읍동 서민식당 051-8045566,
293,293,굽네치킨 부산부암점,통닭(치킨),051-803-9234,부산광역시 부산진구 부암동 410-2 외1필지 (1층일부),"부산광역시 부산진구 백양순환로 137-1 (부암동,외1필지 (1층일부))",385880.658709941,187381.251293145,영업/정상,https://pcmap.place.naver.com/restaurant/31414022/review/visitor#,부산진구,부암동,부암동 굽네치킨 부산부암점,부암동 굽네치킨 부산부암점 051-803-9234,
295,295,원초김밥,김밥(도시락),051-8175776,부산광역시 부산진구 전포동 312-46번지,부산광역시 부산진구 전포대로200번길 5 (전포동),388170.96620894,185892.672683813,영업/정상,,부산진구,전포동,전포동 원초김밥,전포동 원초김밥 051-8175776,
296,296,주식회사 삼안축산,기타,0518175255,부산광역시 부산진구 부전동 165-1 지상1층,"부산광역시 부산진구 서전로10번길 50, 지상1층 (부전동)",387608.884860156,186003.493572324,영업/정상,,부산진구,부전동,부전동 주식회사 삼안축산,부전동 주식회사 삼안축산 0518175255,
299,299,밥이보약,한식,051817-1098,부산광역시 부산진구 부전동 516-2번지 지하1층,"부산광역시 부산진구 가야대로784번길 42, 지하1층 (부전동)",387373.833716927,185981.953757477,영업/정상,,부산진구,부전동,부전동 밥이보약,부전동 밥이보약 051817-1098,
300,300,네네치킨,통닭(치킨),051-8928292,부산광역시 부산진구 당감동 702-1번지 외 1필지,"부산광역시 부산진구 백양순환로28번길 50 (당감동,외 1필지)",385350.009225288,187351.159683765,영업/정상,,부산진구,당감동,당감동 네네치킨,당감동 네네치킨 051-8928292,
304,304,자갈마당,한식,051-807-9289,부산광역시 부산진구 부전동 401-11번지,부산광역시 부산진구 새싹로29번길 14-12 (부전동),387286.122079535,186548.768192163,영업/정상,https://pcmap.place.naver.com/restaurant/1014858537/review/visitor#,부산진구,부전동,부전동 자갈마당,부전동 자갈마당 051-807-9289,
308,308,나랑히요,기타,051-8078076,부산광역시 부산진구 전포동 193-10,부산광역시 부산진구 동성로 119-7 (전포동),388162.587902034,186486.353194729,영업/정상,,부산진구,전포동,전포동 나랑히요,전포동 나랑히요 051-8078076,
309,309,옥돔숯불구이,한식,051-8955155,부산광역시 부산진구 당감동 619-12번지,부산광역시 부산진구 동평로27번길 6 (당감동),385090.51797911,186990.025823678,영업/정상,https://pcmap.place.naver.com/restaurant/37972755/review/visitor#,부산진구,당감동,당감동 옥돔숯불구이,당감동 옥돔숯불구이 051-8955155,
311,311,고집센그집갈비탕부산개금점,한식,051-8915814,부산광역시 부산진구 개금동 546-11번지,"부산광역시 부산진구 냉정로 220, 지상1층 (개금동)",384347.027356626,185397.258238641,영업/정상,https://pcmap.place.naver.com/restaurant/1286207483/review/visitor#,부산진구,개금동,개금동 고집센그집갈비탕부산개금점,개금동 고집센그집갈비탕부산개금점 051-8915814,
312,312,웰빙아구찜.소전골,한식,8516457,부산광역시 부산진구 양정동 350-74번지,부산광역시 부산진구 양지로5번길 46 (양정동),388603.461053419,187764.440018115,영업/정상,https://pcmap.place.naver.com/restaurant/1019812923/review/visitor#,부산진구,양정동,양정동 웰빙아구찜.소전골,양정동 웰빙아구찜.소전골 8516457,
319,319,북경,중국식,051-8076709,부산광역시 부산진구 부암동 80-26번지,부산광역시 부산진구 시민공원로19번길 32-5 (부암동),386873.260406432,186985.086529549,영업/정상,https://pcmap.place.naver.com/restaurant/36395213/review/visitor#,부산진구,부암동,부암동 북경,부암동 북경 051-8076709,
320,320,매떡,한식,051-6330166,부산광역시 부산진구 범천동 844-35,부산광역시 부산진구 골드테마길 52-2 (범천동),387686.946220202,184709.81622057,영업/정상,https://pcmap.place.naver.com/restaurant/36196316/review/visitor#,부산진구,범천동,범천동 매떡,범천동 매떡 051-6330166,
324,324,웨이사이드피자,한식,051853-1230,부산광역시 부산진구 양정동 55-31번지,,,,영업/정상,,부산진구,양정동,양정동 웨이사이드피자,양정동 웨이사이드피자 051853-1230,
329,329,김밥천국,분식,051-8969550,부산광역시 부산진구 당감동 768-4,부산광역시 부산진구 백양순환로 52-1 (당감동),385189.999890223,187474.052469198,영업/정상,,부산진구,당감동,당감동 김밥천국,당감동 김밥천국 051-8969550,
330,330,인생고기,한식,051-8096038,부산광역시 부산진구 부전동 403-26,"부산광역시 부산진구 새싹로29번길 16, 1층 (부전동)",387269.716741891,186499.431000594,영업/정상,,부산진구,부전동,부전동 인생고기,부전동 인생고기 051-8096038,
334,334,가야연탄갈비,한식,051-8948829,부산광역시 부산진구 가야동 271-60번지,부산광역시 부산진구 대학로 10-9 (가야동),385531.959426508,185803.732439713,영업/정상,,부산진구,가야동,가야동 가야연탄갈비,가야동 가야연탄갈비 051-8948829,
337,337,동키치킨,통닭(치킨),051-8033306,부산광역시 부산진구 부전동 351-15번지,부산광역시 부산진구 부전로152번길 37 (부전동),387470.585266871,186539.870504411,영업/정상,https://pcmap.place.naver.com/restaurant/37789333/review/visitor#,부산진구,부전동,부전동 동키치킨,부전동 동키치킨 051-8033306,
339,339,참맛식당,한식,051-8934624,부산광역시 부산진구 당감동 791번지 국제백양아파트상가 3층 11호,,384741.923372529,187364.899359566,영업/정상,,부산진구,당감동,당감동 참맛식당,당감동 참맛식당 051-8934624,
340,340,고성수산횟집,횟집,051-6325642,부산광역시 부산진구 범천동 841-284 외1필지,"부산광역시 부산진구 자유평화로37번길 37 (범천동,외1필지)",387940.760534117,184584.536839493,영업/정상,,부산진구,범천동,범천동 고성수산횟집,범천동 고성수산횟집 051-6325642,
346,346,푸라닭 부산부암점,호프/통닭,051-8179208,부산광역시 부산진구 부암동 381-7,"부산광역시 부산진구 당감로64번길 55, 지상1층 (부암동)",385923.837620242,187364.982222739,영업/정상,,부산진구,부암동,부암동 푸라닭 부산부암점,부암동 푸라닭 부산부암점 051-8179208,
347,347,쏠레젤라또(sole gelato),기타,051-807-8999,부산광역시 부산진구 전포동 667-22,"부산광역시 부산진구 서전로 35, 1층 (전포동)",387947.291110174,186254.497937302,영업/정상,,부산진구,전포동,전포동 쏠레젤라또(sole gelato),전포동 쏠레젤라또(sole gelato) 051-807-8999,
348,348,대독장서면엔씨점,한식,051-8919949,부산광역시 부산진구 전포동 667-16번지,"부산광역시 부산진구 서전로 25, 2층 (전포동, 이오스파라자 201호 일부)",387863.716121828,186257.507509754,영업/정상,,부산진구,전포동,전포동 대독장서면엔씨점,전포동 대독장서면엔씨점 051-8919949,
353,353,강적들,한식,051-8672378,부산광역시 부산진구 양정동 275-4번지,부산광역시 부산진구 동평로405번길 64 (양정동),388630.813401353,188300.628174064,영업/정상,https://pcmap.place.naver.com/restaurant/1105294283/review/visitor#,부산진구,양정동,양정동 강적들,양정동 강적들 051-8672378,
360,360,물레방아소주방,한식,051-8039617,부산광역시 부산진구 부전동 474-44번지,부산광역시 부산진구 부전로96번길 37 (부전동),387338.416720961,186336.772719213,영업/정상,,부산진구,부전동,부전동 물레방아소주방,부전동 물레방아소주방 051-8039617,
361,361,모름지기연탄구이,식육(숯불구이),051-818-5266,부산광역시 부산진구 부전동 168-50 (1층),"부산광역시 부산진구 동천로85번길 36, 1층 (부전동)",387684.670039745,186119.299293909,영업/정상,,부산진구,부전동,부전동 모름지기연탄구이,부전동 모름지기연탄구이 051-818-5266,
364,364,미송,한식,051-8177726,부산광역시 부산진구 부전동 403-27 외 1필지,"부산광역시 부산진구 새싹로29번길 14 (부전동,외 1필지)",387279.894497675,186500.516090702,영업/정상,,부산진구,부전동,부전동 미송,부전동 미송 051-8177726,
367,367,하코야서면점,분식,051-932-5045,부산광역시 부산진구 부전동 537-9 더샵 센트럴스타,"부산광역시 부산진구 중앙대로666번길 50, B208-5호 (부전동, 더샵 센트럴스타)",387748.383011444,185533.437357236,영업/정상,,부산진구,부전동,부전동 하코야서면점,부전동 하코야서면점 051-932-5045,
371,371,호텔더소그노스(Hotel The Sognos)서면점,기타,051-809-2223,부산광역시 부산진구 범천동 1158-12,"부산광역시 부산진구 신암로 139-2, 1층 우측호 (범천동)",386686.217179801,185653.056538629,영업/정상,,부산진구,범천동,범천동 호텔더소그노스(Hotel The Sognos)서면점,범천동 호텔더소그노스(Hotel The Sognos)서면점 051-809-2223,
374,374,당신은 지금 치킨이 땡긴다 초읍점,경양식,051-819-3302,부산광역시 부산진구 초읍동 269-14,"부산광역시 부산진구 새싹로 202, 1층 (초읍동)",386612.32801207,188034.194575258,영업/정상,,부산진구,초읍동,초읍동 당신은 지금 치킨이 땡긴다 초읍점,초읍동 당신은 지금 치킨이 땡긴다 초읍점 051-819-3302,
378,378,대박집,기타,051-803-8138,부산광역시 부산진구 부암동 680-29번지,"부산광역시 부산진구 가야대로747번길 54-1, 1층 (부암동)",386973.582242161,186493.108498375,영업/정상,,부산진구,부암동,부암동 대박집,부암동 대박집 051-803-8138,
380,380,성균관김밥&돼지국밥,분식,8073883,부산광역시 부산진구 초읍동 215-21,부산광역시 부산진구 성지로 86 (초읍동),387018.877623724,188486.725415454,영업/정상,,부산진구,초읍동,초읍동 성균관김밥&돼지국밥,초읍동 성균관김밥&돼지국밥 8073883,
383,383,동래통닭서면점,호프/통닭,051-8162297,부산광역시 부산진구 부전동 168-3,부산광역시 부산진구 중앙대로680번가길 54 (부전동),387733.840209174,186021.218598158,영업/정상,,부산진구,부전동,부전동 동래통닭서면점,부전동 동래통닭서면점 051-8162297,
384,384,죽이야기(전포점),분식,051-808-6282,부산광역시 부산진구 전포동 595-20,부산광역시 부산진구 동성로 140 (전포동),387984.333122347,186633.993031274,영업/정상,,부산진구,전포동,전포동 죽이야기(전포점),전포동 죽이야기(전포점) 051-808-6282,
385,385,풍성한오리,식육(숯불구이),8615850,부산광역시 부산진구 양정동 96-2번지,부산광역시 부산진구 양정로7번길 3 (양정동),388900.806219745,187991.772187906,영업/정상,,부산진구,양정동,양정동 풍성한오리,양정동 풍성한오리 8615850,
386,386,원조현미아구찜,한식,051-6426784,부산광역시 부산진구 범천동 839-405번지,부산광역시 부산진구 자유평화로3번길 14-22 (범천동),387842.814531832,184482.426043193,영업/정상,https://pcmap.place.naver.com/restaurant/16444321/review/visitor#,부산진구,범천동,범천동 원조현미아구찜,범천동 원조현미아구찜 051-6426784,
392,392,고봉민김밥인,김밥(도시락),051-8917969,부산광역시 부산진구 가야동 50-1번지 외1필지(유림아파트상가108호),"부산광역시 부산진구 가야대로 613, 상가동 108호 (가야동, 외1필지(유림아파트))",385733.529901161,185961.315340121,영업/정상,,부산진구,가야동,가야동 고봉민김밥인,가야동 고봉민김밥인 051-8917969,
395,395,골통,한식,051-8911009,부산광역시 부산진구 가야동 427-13번지,부산광역시 부산진구 대학로 67 (가야동),385336.6659931,185284.111283501,영업/정상,,부산진구,가야동,가야동 골통,가야동 골통 051-8911009,
398,398,명동보쌈갈비,한식,051-932-5051,부산광역시 부산진구 부전동 537-9 더샾센트럴스타 지하2층 상가동 203호,"부산광역시 부산진구 중앙대로666번길 50, 지하2층 203호 (부전동, 더샾센트럴스타)",387748.383011444,185533.437357236,영업/정상,,부산진구,부전동,부전동 명동보쌈갈비,부전동 명동보쌈갈비 051-932-5051,
400,400,월강,일식,051-806-2500,부산광역시 부산진구 부전동 533-10번지 월강빌딩,"부산광역시 부산진구 서면로 7, 월강빌딩 1,2,3,4층 (부전동)",387429.818217937,185523.556136164,영업/정상,,부산진구,부전동,부전동 월강,부전동 월강 051-806-2500,
408,408,인쌩맥주서면점,식육(숯불구이),051-802-5503,부산광역시 부산진구 부전동 168-99 (1층),"부산광역시 부산진구 중앙대로680번가길 51 (부전동,(1층))",387705.163170464,186007.576409054,영업/정상,https://pcmap.place.naver.com/restaurant/1627096984/review/visitor#,부산진구,부전동,부전동 인쌩맥주서면점,부전동 인쌩맥주서면점 051-802-5503,
410,410,양앤이,한식,051-804-7525,부산광역시 부산진구 부암동 410-5 (1층),"부산광역시 부산진구 백양순환로 137, 1층 (부암동)",385877.556828462,187393.07941856,영업/정상,https://pcmap.place.naver.com/restaurant/11784201/review/visitor#,부산진구,부암동,부암동 양앤이,부암동 양앤이 051-804-7525,
413,413,(주)제이에이치 대학약국점,한식,051-8942800,부산광역시 부산진구 개금동 540-284번지 외3필지,"부산광역시 부산진구 복지로 61 (개금동,외3필지)",384074.884873772,185022.061757108,영업/정상,,부산진구,개금동,개금동 (주)제이에이치 대학약국점,개금동 (주)제이에이치 대학약국점 051-8942800,
414,414,까투리,기타,051-8929291,부산광역시 부산진구 개금동 523-67번지,부산광역시 부산진구 복지로 20 (개금동),384007.81201729,185455.494312224,영업/정상,,부산진구,개금동,개금동 까투리,개금동 까투리 051-8929291,
418,418,김밥천국,분식,051-8098009,부산광역시 부산진구 부전동 515-67번지 (1층일부),"부산광역시 부산진구 부전로 48 (부전동,(1층일부))",387232.630093889,185870.264139363,영업/정상,,부산진구,부전동,부전동 김밥천국,부전동 김밥천국 051-8098009,
419,419,노아,호프/통닭,8045652,부산광역시 부산진구 부전동 168-388번지 (3층일부),"부산광역시 부산진구 동천로85번길 22 (부전동,(3층일부))",387730.666442528,186080.991034109,영업/정상,,부산진구,부전동,부전동 노아,부전동 노아 8045652,
424,424,인해,한식,051-903-3522,부산광역시 부산진구 부전동 526-12번지 (1층),"부산광역시 부산진구 부전로 35 (부전동,(1층))",387266.861129807,185738.889834082,영업/정상,https://pcmap.place.naver.com/restaurant/16782602/review/visitor#,부산진구,부전동,부전동 인해,부전동 인해 051-903-3522,
434,434,옛정,한식,051-817-1663,부산광역시 부산진구 초읍동 206-38번지 (1층),"부산광역시 부산진구 성지로83번길 14-5 (초읍동,(1층))",386922.262562619,188433.369288224,영업/정상,,부산진구,초읍동,초읍동 옛정,초읍동 옛정 051-817-1663,
436,436,다섯시,식육(숯불구이),051-919-9288,부산광역시 부산진구 부전동 168-60번지 (2층),"부산광역시 부산진구 중앙대로680번가길 71, 2층 (부전동)",387711.921321611,186107.725281526,영업/정상,https://pcmap.place.naver.com/restaurant/16446085/review/visitor#,부산진구,부전동,부전동 다섯시,부전동 다섯시 051-919-9288,
438,438,두번째,식육(숯불구이),051-819-1918,부산광역시 부산진구 초읍동 208-2번지 (1층),"부산광역시 부산진구 성지로 102, 1층 (초읍동)",386920.772674287,188627.951048879,영업/정상,,부산진구,초읍동,초읍동 두번째,초읍동 두번째 051-819-1918,
440,440,다비드,호프/통닭,051-804-2068,부산광역시 부산진구 부전동 172-6 지상5층,"부산광역시 부산진구 중앙대로692번길 33, 지상5층 (부전동)",387738.117686491,185888.730908556,영업/정상,,부산진구,부전동,부전동 다비드,부전동 다비드 051-804-2068,
441,441,아웃닭,호프/통닭,051-803-3698,부산광역시 부산진구 부전동 168-349번지 (1층),"부산광역시 부산진구 동천로85번길 21, 1층 (부전동)",387730.925750458,186062.273974638,영업/정상,,부산진구,부전동,부전동 아웃닭,부전동 아웃닭 051-803-3698,
