Unnamed: 0,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2,naver_map_url_df1
16,365 후루룩 촌국수,한식,051-8070353,부산광역시 부산진구 부전동 396-12번지,부산광역시 부산진구 새싹로14번길 5 (부전동),387459.789,186403.8816,영업/정상,https://pcmap.place.naver.com/restaurant/1443972379/review/visitor#,부산진구,부전동,부전동 365 후루룩 촌국수,부전동 365 후루룩 촌국수 051-8070353,
17,울산목살구이집,한식,051-8068689,부산광역시 부산진구 부전동 264-8번지,부산광역시 부산진구 부전로152번길 51-1 (부전동),387487.4273,186472.7938,영업/정상,https://pcmap.place.naver.com/restaurant/13558115/review/visitor#,부산진구,부전동,부전동 울산목살구이집,부전동 울산목살구이집 051-8068689,
18,순두부&청국장,한식,051-897-7500,부산광역시 부산진구 당감동 305-20번지,부산광역시 부산진구 당감로50번길 12 (당감동),385760.841,187119.2592,영업/정상,,부산진구,당감동,당감동 순두부&청국장,당감동 순두부&청국장 051-897-7500,
19,국시랑술이랑,중국식,,부산광역시 부산진구 개금동 169-16,부산광역시 부산진구 냉정로231번길 12 (개금동),384493.7014,185470.6795,영업/정상,https://pcmap.place.naver.com/restaurant/1904085525/review/visitor#,부산진구,개금동,개금동 국시랑술이랑,개금동 국시랑술이랑 ,
20,가야수구레국밥,한식,051-8081542,부산광역시 부산진구 부전동 260-15,부산광역시 부산진구 새싹로8번길 16 (부전동),387556.8044,186371.4345,영업/정상,,부산진구,부전동,부전동 가야수구레국밥,부전동 가야수구레국밥 051-8081542,
21,세븐참치,한식,051-8063737,부산광역시 부산진구 부전동 404-27 지상1층,"부산광역시 부산진구 서면문화로 46, 지상1층 (부전동)",387230.0017,186611.2035,영업/정상,https://pcmap.place.naver.com/restaurant/34872064/review/visitor#,부산진구,부전동,부전동 세븐참치,부전동 세븐참치 051-8063737,
22,태화육개장,한식,051-8025995,부산광역시 부산진구 부전동 397-21번지,부산광역시 부산진구 서면문화로 18-1 (부전동),387354.0643,186392.916,영업/정상,https://pcmap.place.naver.com/restaurant/13572254/review/visitor#,부산진구,부전동,부전동 태화육개장,부전동 태화육개장 051-8025995,
23,마라당,기타,,부산광역시 부산진구 부전동 219-1번지 지상1층,"부산광역시 부산진구 중앙대로692번길 42, 지상1층 (부전동)",387785.2445,185848.9688,영업/정상,https://pcmap.place.naver.com/restaurant/1387616679/review/visitor#,부산진구,부전동,부전동 마라당,부전동 마라당 ,
24,황궁쟁반짜장,중국식,051-8521268,부산광역시 부산진구 양정동 321-20번지,부산광역시 부산진구 동평로 395 (양정동),388358.8091,188108.5024,영업/정상,,부산진구,양정동,양정동 황궁쟁반짜장,양정동 황궁쟁반짜장 051-8521268,
25,울릉도,한식,051-8661107,부산광역시 부산진구 양정동 393-10번지,부산광역시 부산진구 동평로420번길 25 (양정동),388496.6354,187839.5735,영업/정상,,부산진구,양정동,양정동 울릉도,양정동 울릉도 051-8661107,
26,언양숯불갈비,한식,051-8080788,부산광역시 부산진구 부전동 117-5번지,부산광역시 부산진구 동천로107번길 24 (부전동),387719.5304,186302.5298,영업/정상,,부산진구,부전동,부전동 언양숯불갈비,부전동 언양숯불갈비 051-8080788,
27,한양각,중국식,051-863-1363,부산광역시 부산진구 양정동 501-19번지,부산광역시 부산진구 동평로 377 (양정동),388187.9303,188153.1936,영업/정상,,부산진구,양정동,양정동 한양각,양정동 한양각 051-863-1363,
28,옛날보리밥,한식,051-8076709,부산광역시 부산진구 부암동 80-22,부산광역시 부산진구 새싹로 89-14 (부암동),386927.1554,186997.0567,영업/정상,,부산진구,부암동,부암동 옛날보리밥,부암동 옛날보리밥 051-8076709,
29,합천식당,한식,,부산광역시 부산진구 범천동 839-411번지,부산광역시 부산진구 자유평화로 23 (범천동),387890.043,184437.1139,영업/정상,,부산진구,범천동,범천동 합천식당,범천동 합천식당 ,
30,뚜꺼비식당,한식,051-8068940,부산광역시 부산진구 부전동 517-39,부산광역시 부산진구 가야대로784번길 57-1 (부전동),387393.8969,185911.8024,영업/정상,,부산진구,부전동,부전동 뚜꺼비식당,부전동 뚜꺼비식당 051-8068940,
31,니꼬야,호프/통닭,051-806-7711,부산광역시 부산진구 부전동 402-4번지,부산광역시 부산진구 새싹로29번길 12 (부전동),387290.3485,186515.213,영업/정상,,부산진구,부전동,부전동 니꼬야,부전동 니꼬야 051-806-7711,
32,생생제주생고기,식육(숯불구이),,부산광역시 부산진구 부전동 142-7번지 (1층),"부산광역시 부산진구 동천로107번길 21 (부전동,(1층))",387725.9863,186280.4326,영업/정상,,부산진구,부전동,부전동 생생제주생고기,부전동 생생제주생고기 ,
33,이삭,한식,051-8057196,부산광역시 부산진구 부전동 261-1번지,부산광역시 부산진구 새싹로14번길 4 (부전동),387480.21,186399.6418,영업/정상,,부산진구,부전동,부전동 이삭,부전동 이삭 051-8057196,
34,그집,횟집,051-8097947,부산광역시 부산진구 부전동 397-18,부산광역시 부산진구 서면문화로 22-6 (부전동),387351.9161,186409.3994,영업/정상,,부산진구,부전동,부전동 그집,부전동 그집 051-8097947,
35,그래도 목돈,한식,051-8182957,부산광역시 부산진구 부전동 399-9 (1층),"부산광역시 부산진구 새싹로 21-2, 1층 (부전동)",387364.0653,186450.8017,영업/정상,,부산진구,부전동,부전동 그래도 목돈,부전동 그래도 목돈 051-8182957,
36,토닭토닭,한식,051-909-9177,부산광역시 부산진구 부전동 396-5번지 (1층),"부산광역시 부산진구 새싹로28번길 8-8 (부전동,(1층))",387410.1967,186482.5821,영업/정상,,부산진구,부전동,부전동 토닭토닭,부전동 토닭토닭 051-909-9177,
37,대모골,한식,051-804-9959,부산광역시 부산진구 부전동 262-11 (1층),"부산광역시 부산진구 부전로152번길 71, 1층 (부전동)",387524.7152,186390.7418,영업/정상,,부산진구,부전동,부전동 대모골,부전동 대모골 051-804-9959,
38,미스터 돈까스,한식,,부산광역시 부산진구 범천동 858-1,부산광역시 부산진구 황령대로17번길 27 (범천동),387734.1204,185288.4464,영업/정상,,부산진구,범천동,범천동 미스터 돈까스,범천동 미스터 돈까스 ,
39,영빈원,중국식,051-8936745,부산광역시 부산진구 개금동 566-7번지 외9필지,"부산광역시 부산진구 엄광로44번길 24 (개금동, 외9필지)",384127.7572,184982.8025,영업/정상,,부산진구,개금동,개금동 영빈원,개금동 영빈원 051-8936745,
40,선아기사식당,한식,051-8682207,부산광역시 부산진구 양정동 271-14,부산광역시 부산진구 연수로 41 (양정동),388998.203,188146.1354,영업/정상,,부산진구,양정동,양정동 선아기사식당,양정동 선아기사식당 051-8682207,
41,가가와,식육(숯불구이),051-6323949,부산광역시 부산진구 범천동 847-37번지,부산광역시 부산진구 중앙번영로 6 (범천동),387644.7026,184788.2381,영업/정상,,부산진구,범천동,범천동 가가와,범천동 가가와 051-6323949,
42,남다른썬치킨 신암1호점,통닭(치킨),051-639-8592,부산광역시 부산진구 범천동 1253-2,"부산광역시 부산진구 신암로 73, 1층 (범천동)",387101.6349,185140.2891,영업/정상,,부산진구,범천동,범천동 남다른썬치킨 신암1호점,범천동 남다른썬치킨 신암1호점 051-639-8592,
43,파평옥 서면점,한식,051-8186701,부산광역시 부산진구 부전동 406-68,부산광역시 부산진구 서면문화로 41 (부전동),387204.7752,186557.3665,영업/정상,,부산진구,부전동,부전동 파평옥 서면점,부전동 파평옥 서면점 051-8186701,
44,양지식당,한식,051-8028085,부산광역시 부산진구 부전동 352-2번지,부산광역시 부산진구 부전로152번길 40 (부전동),387448.8801,186533.5255,영업/정상,,부산진구,부전동,부전동 양지식당,부전동 양지식당 051-8028085,
45,장어다움,한식,,부산광역시 부산진구 부전동 515-2번지,"부산광역시 부산진구 부전로66번길 6, 1층 (부전동)",387188.8726,186001.9246,영업/정상,,부산진구,부전동,부전동 장어다움,부전동 장어다움 ,
46,짚신매운갈비찜,한식,,부산광역시 부산진구 부전동 516-32,부산광역시 부산진구 부전로66번길 38 (부전동),387345.9963,186006.6223,영업/정상,,부산진구,부전동,부전동 짚신매운갈비찜,부전동 짚신매운갈비찜 ,
47,오모가리김치찌개,한식,051-8045396,부산광역시 부산진구 부전동 474-71,부산광역시 부산진구 서면문화로 31 (부전동),387237.0985,186455.0247,영업/정상,,부산진구,부전동,부전동 오모가리김치찌개,부전동 오모가리김치찌개 051-8045396,
48,종로빈대떡,한식,051-8038538,부산광역시 부산진구 부전동 486-22번지,부산광역시 부산진구 서면문화로5번길 3 (부전동),387401.9134,186277.2098,영업/정상,,부산진구,부전동,부전동 종로빈대떡,부전동 종로빈대떡 051-8038538,
49,정선가,일식,051809-5455,부산광역시 부산진구 부전동 122-24번지,부산광역시 부산진구 서전로9번길 26 (부전동),387726.3027,186355.7782,영업/정상,,부산진구,부전동,부전동 정선가,부전동 정선가 051809-5455,
50,구워육,분식,051-6443331,부산광역시 부산진구 범천동 870-2,부산광역시 부산진구 중앙대로621번길 17 (범천동),387492.4875,185153.7374,영업/정상,,부산진구,범천동,범천동 구워육,범천동 구워육 051-6443331,
51,소문대로,한식,051-808-5236,부산광역시 부산진구 부전동 486-3 1층,"부산광역시 부산진구 서면문화로5번길 9, 1층 (부전동)",387367.7323,186275.033,영업/정상,,부산진구,부전동,부전동 소문대로,부전동 소문대로 051-808-5236,
52,태양참숯불갈비,한식,051-634-2305,부산광역시 부산진구 범천동 1254-56번지,부산광역시 부산진구 신암로 82 (범천동),387086.7733,185220.6696,영업/정상,,부산진구,범천동,범천동 태양참숯불갈비,범천동 태양참숯불갈비 051-634-2305,
53,부부해장국,한식,051-8055584,부산광역시 부산진구 부전동 522-44번지,부산광역시 부산진구 서면로 29-9 (부전동),387399.0285,185732.7377,영업/정상,,부산진구,부전동,부전동 부부해장국,부전동 부부해장국 051-8055584,
54,콩나물비빔밥식당,한식,051-8060279,부산광역시 부산진구 부전동 474-119번지,부산광역시 부산진구 부전로96번길 31-13 (부전동),387271.2865,186352.1074,영업/정상,,부산진구,부전동,부전동 콩나물비빔밥식당,부전동 콩나물비빔밥식당 051-8060279,
55,뜨락,한식,051-8069097,부산광역시 부산진구 부전동 519-36번지,"부산광역시 부산진구 중앙대로691번가길 24-12, 지상1층 (부전동)",387279.0406,185952.3256,영업/정상,,부산진구,부전동,부전동 뜨락,부전동 뜨락 051-8069097,
56,만리장성,중국식,051-804-2627,부산광역시 부산진구 초읍동 271-4번지,,386474.2436,188216.7999,영업/정상,,부산진구,초읍동,초읍동 만리장성,초읍동 만리장성 051-804-2627,
57,소장님,한식,051-8061919,부산광역시 부산진구 부전동 520-10,부산광역시 부산진구 가야대로784번길 66 (부전동),387360.6089,185871.2188,영업/정상,,부산진구,부전동,부전동 소장님,부전동 소장님 051-8061919,
58,야밤포차,호프/통닭,051-6448332,"부산광역시 부산진구 범천동 1263-2 ,19","부산광역시 부산진구 신암로 69-1 (범천동,,19)",387114.3138,185115.3115,영업/정상,,부산진구,범천동,범천동 야밤포차,범천동 야밤포차 051-6448332,
59,골목반점,중국식,051-8964551,부산광역시 부산진구 당감동 817-59,"부산광역시 부산진구 가야대로691번길 27, 1층 (당감동)",386369.6442,186179.2062,영업/정상,,부산진구,당감동,당감동 골목반점,당감동 골목반점 051-8964551,
60,청담,한식,051-807-5555,부산광역시 부산진구 부전동 516-2번지 지상1층,"부산광역시 부산진구 가야대로784번길 42, 지상1층 (부전동)",387373.8337,185981.9538,영업/정상,,부산진구,부전동,부전동 청담,부전동 청담 051-807-5555,
61,남포동 서울깍두기,한식,051-809-7398,부산광역시 부산진구 부전동 262-9번지 (1층),"부산광역시 부산진구 새싹로8번길 13, 1층 (부전동)",387541.9818,186390.1252,영업/정상,,부산진구,부전동,부전동 남포동 서울깍두기,부전동 남포동 서울깍두기 051-809-7398,
62,일광스시,한식,051-853-6006,"부산광역시 부산진구 양정동 350-166 ,171,191","부산광역시 부산진구 양지로5번길 54 (양정동,,171,191)",388625.4847,187797.6324,영업/정상,,부산진구,양정동,양정동 일광스시,양정동 일광스시 051-853-6006,
63,금호횟집,횟집,051804-7734,부산광역시 부산진구 부전동 402-4번지,부산광역시 부산진구 새싹로29번길 12 (부전동),387290.3485,186515.213,영업/정상,,부산진구,부전동,부전동 금호횟집,부전동 금호횟집 051804-7734,
64,베키네 부엌,횟집,,부산광역시 부산진구 부전동 519-4,부산광역시 부산진구 가야대로784번길 46-3 (부전동),387361.4074,185957.3555,영업/정상,,부산진구,부전동,부전동 베키네 부엌,부전동 베키네 부엌 ,
65,주식회사급행장,한식,,부산광역시 부산진구 부전동 485-19,부산광역시 부산진구 서면문화로5번길 29 (부전동),387271.5075,186260.7524,영업/정상,,부산진구,부전동,부전동 주식회사급행장,부전동 주식회사급행장 ,
66,해논미역,한식,051-806-6050,부산광역시 부산진구 부전동 400-9,"부산광역시 부산진구 새싹로29번길 15, 1층 (부전동)",387275.7194,186480.8541,영업/정상,,부산진구,부전동,부전동 해논미역,부전동 해논미역 051-806-6050,
67,시장식당,한식,051-8979437,부산광역시 부산진구 당감동 292-33번지,부산광역시 부산진구 당감로34번길 46 (당감동),385950.3556,187013.7924,영업/정상,,부산진구,당감동,당감동 시장식당,당감동 시장식당 051-8979437,
68,풍미추어탕,한식,051-8194636,부산광역시 부산진구 초읍동 338-8번지,부산광역시 부산진구 성지곡로 42 (초읍동),386526.3916,189333.9694,영업/정상,,부산진구,초읍동,초읍동 풍미추어탕,초읍동 풍미추어탕 051-8194636,
69,그린돈까스,분식,,부산광역시 부산진구 범천동 881-64,부산광역시 부산진구 범일로153번길 16 (범천동),387523.0551,184674.3201,영업/정상,,부산진구,범천동,범천동 그린돈까스,범천동 그린돈까스 ,
70,하동재첩왕갈비,한식,051-808-5668,부산광역시 부산진구 부전동 262-15번지 (1층),"부산광역시 부산진구 중앙대로743번길 25 (부전동,(1층))",387523.4708,186428.1612,영업/정상,,부산진구,부전동,부전동 하동재첩왕갈비,부전동 하동재첩왕갈비 051-808-5668,
71,연지식당,횟집,051-8070948,"부산광역시 부산진구 연지동 179-19번지 ,182-9","부산광역시 부산진구 연지로 9 (연지동,,182-9)",386761.7156,187674.8499,영업/정상,,부산진구,연지동,연지동 연지식당,연지동 연지식당 051-8070948,
72,자갈치식당,한식,,부산광역시 부산진구 부전동 397-18번지,부산광역시 부산진구 서면문화로 22-6 (부전동),387351.9161,186409.3994,영업/정상,,부산진구,부전동,부전동 자갈치식당,부전동 자갈치식당 ,
73,쌈촌당감점,중국식,051-8978559,부산광역시 부산진구 당감동 258-11번지 (1층),"부산광역시 부산진구 당감로 23-1 (당감동,(1층))",385740.992,186860.9915,영업/정상,,부산진구,당감동,당감동 쌈촌당감점,당감동 쌈촌당감점 051-8978559,
74,비비큐치킨(BBQ치킨),통닭(치킨),051-8190349,부산광역시 부산진구 전포동 202-25,부산광역시 부산진구 서전로 65 (전포동),388263.4293,186264.3643,영업/정상,,부산진구,전포동,전포동 비비큐치킨(BBQ치킨),전포동 비비큐치킨(BBQ치킨) 051-8190349,
75,통큰맘모스치킨,통닭(치킨),051-8945805,부산광역시 부산진구 개금동 258-1,부산광역시 부산진구 백양대로 235 (개금동),384446.6731,186079.941,영업/정상,,부산진구,개금동,개금동 통큰맘모스치킨,개금동 통큰맘모스치킨 051-8945805,
76,육수당서면롯데점,한식,051807-6780,부산광역시 부산진구 부전동 517-13,부산광역시 부산진구 가야대로784번길 41 (부전동),387406.0289,185983.0903,영업/정상,,부산진구,부전동,부전동 육수당서면롯데점,부전동 육수당서면롯데점 051807-6780,
77,삿뽀로참치,한식,,부산광역시 부산진구 부전동 521-15번지 지상1층,"부산광역시 부산진구 부전로20번길 42, 지상1층 (부전동)",387357.7439,185792.0849,영업/정상,,부산진구,부전동,부전동 삿뽀로참치,부전동 삿뽀로참치 ,
78,춘하추동,분식,051-8095820,부산광역시 부산진구 부전동 262-13,부산광역시 부산진구 부전로152번길 69 (부전동),387518.5419,186400.5576,영업/정상,,부산진구,부전동,부전동 춘하추동,부전동 춘하추동 051-8095820,
79,세영대구탕,한식,051-8059292,"부산광역시 부산진구 부전동 475-32번지 ,33","부산광역시 부산진구 서면문화로5번길 8 (부전동,,33)",387385.051,186299.2231,영업/정상,,부산진구,부전동,부전동 세영대구탕,부전동 세영대구탕 051-8059292,
80,지아찻집,호프/통닭,,부산광역시 부산진구 범천동 871-23,부산광역시 부산진구 신천대로65번길 64 (범천동),387468.0171,185077.1222,영업/정상,,부산진구,범천동,범천동 지아찻집,범천동 지아찻집 ,
81,독도는 새우땅,한식,051-8060506,부산광역시 부산진구 부전동 233-17번지,"부산광역시 부산진구 신천대로62번길 39, 지상1층 (부전동)",387488.7923,185647.945,영업/정상,,부산진구,부전동,부전동 독도는 새우땅,부전동 독도는 새우땅 051-8060506,
82,진성횟집,횟집,051-897-8978,부산광역시 부산진구 당감동 238-45,"부산광역시 부산진구 백양대로60번길 35, 1층 (당감동)",386006.0243,186881.8166,영업/정상,,부산진구,당감동,당감동 진성횟집,당감동 진성횟집 051-897-8978,
83,통돼지갈비,한식,051-6469077,부산광역시 부산진구 범천동 1252,,387075.9544,185197.3974,영업/정상,,부산진구,범천동,범천동 통돼지갈비,범천동 통돼지갈비 051-6469077,
84,경회루,한식,051-8028852,부산광역시 부산진구 부전동 400-1번지,부산광역시 부산진구 새싹로29번길 5 (부전동),387323.0661,186487.4073,영업/정상,,부산진구,부전동,부전동 경회루,부전동 경회루 051-8028852,
85,시골추어탕,한식,051-8945880,부산광역시 부산진구 가야동 370-5,부산광역시 부산진구 대학로15번길 6 (가야동),385562.322,185749.5047,영업/정상,,부산진구,가야동,가야동 시골추어탕,가야동 시골추어탕 051-8945880,
86,리수스 과수원 과일&디저트 서면본점,한식,051-8078602,부산광역시 부산진구 부전동 156-43,부산광역시 부산진구 중앙대로 722-7 (부전동),387653.4974,186160.6149,영업/정상,https://pcmap.place.naver.com/restaurant/1966604043/review/visitor#,부산진구,부전동,부전동 리수스 과수원 과일&디저트 서면본점,부전동 리수스 과수원 과일&디저트 서면본점 051-8078602,https://pcmap.place.naver.com/restaurant/1966604043/review/visitor#
87,서울식당,한식,,부산광역시 부산진구 당감동 69-17번지,부산광역시 부산진구 가야대로703번길 31 (당감동),386573.7985,186288.9874,영업/정상,,부산진구,당감동,당감동 서울식당,당감동 서울식당 ,
88,장어촌,한식,051-8096766,부산광역시 부산진구 부전동 475-12번지,부산광역시 부산진구 부전로96번길 36 (부전동),387327.0643,186320.4654,영업/정상,,부산진구,부전동,부전동 장어촌,부전동 장어촌 051-8096766,
89,복조리,한식,,부산광역시 부산진구 범천동 844-71번지,부산광역시 부산진구 골드테마길 60 (범천동),387691.0736,184747.5495,영업/정상,,부산진구,범천동,범천동 복조리,범천동 복조리 ,
90,신토불이오리불고기,식육(숯불구이),051-8651070,부산광역시 부산진구 양정동 501-19 번지(지상2층),"부산광역시 부산진구 동평로 377 (양정동,번지(지상2층))",388187.9303,188153.1936,영업/정상,,부산진구,양정동,양정동 신토불이오리불고기,양정동 신토불이오리불고기 051-8651070,
91,중앙숯불갈비,한식,051-6322008,부산광역시 부산진구 범천동 847-32번지,부산광역시 부산진구 골드테마길 65 (범천동),387652.4656,184771.9764,영업/정상,,부산진구,범천동,범천동 중앙숯불갈비,범천동 중앙숯불갈비 051-6322008,
92,원카츠(서면점),분식,051-8096616,부산광역시 부산진구 부전동 142-11번지,부산광역시 부산진구 서전로9번길 8 (부전동),387703.0399,186275.4565,영업/정상,,부산진구,부전동,부전동 원카츠(서면점),부전동 원카츠(서면점) 051-8096616,
93,중화요리가미,중국식,,부산광역시 부산진구 개금동 171-31,부산광역시 부산진구 가야대로482번길 9-3 (개금동),384457.7039,185596.3995,영업/정상,,부산진구,개금동,개금동 중화요리가미,개금동 중화요리가미 ,
94,부전강가네칼국수,분식,051-8076171,부산광역시 부산진구 전포동 875-2,부산광역시 부산진구 전포대로275번길 53 (전포동),387938.4063,186768.1856,영업/정상,,부산진구,전포동,전포동 부전강가네칼국수,전포동 부전강가네칼국수 051-8076171,
95,팔미분식,분식,051-8080919,부산광역시 부산진구 부전동 524-18,부산광역시 부산진구 중앙대로691번길 55 (부전동),387273.8238,185836.7706,영업/정상,,부산진구,부전동,부전동 팔미분식,부전동 팔미분식 051-8080919,
96,행진푸드,한식,051-809-3005,부산광역시 부산진구 부전동 469-4 (1층),"부산광역시 부산진구 부전로 102-6 (부전동,(1층))",387178.8125,186364.733,영업/정상,,부산진구,부전동,부전동 행진푸드,부전동 행진푸드 051-809-3005,
97,문화양곱창,한식,051-808-2072,부산광역시 부산진구 부전동 519-19번지,부산광역시 부산진구 가야대로784번길 56-8 (부전동),387339.5553,185927.3167,영업/정상,,부산진구,부전동,부전동 문화양곱창,부전동 문화양곱창 051-808-2072,
98,남천낙지,한식,051-894-7713,부산광역시 부산진구 당감동 751-12번지,"부산광역시 부산진구 당감서로 79, 1층 (당감동)",385486.6256,187261.4072,영업/정상,,부산진구,당감동,당감동 남천낙지,당감동 남천낙지 051-894-7713,
99,야우보쌈,한식,051-805-9947,부산광역시 부산진구 부전동 395-35번지,부산광역시 부산진구 부전로152번길 48 (부전동),387454.8789,186489.122,영업/정상,,부산진구,부전동,부전동 야우보쌈,부전동 야우보쌈 051-805-9947,
100,최고집왕갈비탕,식육(숯불구이),051-8183789,부산광역시 부산진구 연지동 20-7 (1층),"부산광역시 부산진구 성지로 51 (연지동,(1층))",387093.6242,188158.4733,영업/정상,https://pcmap.place.naver.com/restaurant/16417228/review/visitor#,부산진구,연지동,연지동 최고집왕갈비탕,연지동 최고집왕갈비탕 051-8183789,https://pcmap.place.naver.com/restaurant/16417228/review/visitor#
101,하동식당,한식,051-8192917,부산광역시 부산진구 초읍동 174-1번지,부산광역시 부산진구 성지로 141-1 (초읍동),386570.084,188825.2749,영업/정상,https://pcmap.place.naver.com/restaurant/16420609/review/visitor#,부산진구,초읍동,초읍동 하동식당,초읍동 하동식당 051-8192917,https://pcmap.place.naver.com/restaurant/16420609/review/visitor#
102,장원식당,한식,051-8923210,부산광역시 부산진구 개금동 58-16번지 산58-16,,,,영업/정상,,부산진구,개금동,개금동 장원식당,개금동 장원식당 051-8923210,
103,그냥식당,한식,051-8063440,부산광역시 부산진구 부전동 521-23 지상1층,"부산광역시 부산진구 서면로 29-10, 지상1층 (부전동)",387400.4556,185756.2377,영업/정상,,부산진구,부전동,부전동 그냥식당,부전동 그냥식당 051-8063440,
104,팔복식당,한식,051-895-5384,부산광역시 부산진구 당감동 304-14 지상1층일부,"부산광역시 부산진구 당감로50번길 20 (당감동, 지상1층일부)",385794.2356,187127.3236,영업/정상,,부산진구,당감동,당감동 팔복식당,당감동 팔복식당 051-895-5384,
105,영희네한상,한식,051-816-5250,부산광역시 부산진구 부암동 42-21번지,부산광역시 부산진구 신천대로 288 (부암동),386765.1555,187297.5941,영업/정상,,부산진구,부암동,부암동 영희네한상,부암동 영희네한상 051-816-5250,
