,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
14,골목길포차,한식,051-8199291,부산광역시 부산진구 부전동 519-49 지상1층,"부산광역시 부산진구 가야대로784번길 54-1, 지상1층 (부전동)",387367.938005402,185943.93539748,영업/정상,https://pcmap.place.naver.com/restaurant/1529893827/review/visitor#,부산진구,부전동,부전동 골목길포차,부전동 골목길포차 051-8199291
15,백양돼지국밥,한식,051-898-0505,부산광역시 부산진구 당감동 792-12번지,부산광역시 부산진구 백양관문로 84 (당감동),384771.350501072,187151.786979683,영업/정상,https://pcmap.place.naver.com/restaurant/36031538/review/visitor#,부산진구,당감동,당감동 백양돼지국밥,당감동 백양돼지국밥 051-898-0505
16,대야성갈비,한식,051-8199292,"부산광역시 부산진구 부전동 475-16번지 ,18","부산광역시 부산진구 서면문화로5번길 12 (부전동,,18)",387358.854160039,186311.160069082,영업/정상,https://pcmap.place.naver.com/restaurant/16434982/review/visitor#,부산진구,부전동,부전동 대야성갈비,부전동 대야성갈비 051-8199292
17,닭집,중국식,051-8089645,부산광역시 부산진구 전포동 340-2,"부산광역시 부산진구 전포대로200번길 24, 1층 (전포동)",388265.145064848,185869.190857953,영업/정상,,부산진구,전포동,전포동 닭집,전포동 닭집 051-8089645
18,영화실비,한식,051-8056280,부산광역시 부산진구 부전동 522-47번지,부산광역시 부산진구 부전로20번길 28 (부전동),387385.033627633,185712.629011113,영업/정상,https://pcmap.place.naver.com/restaurant/51098303/review/visitor#,부산진구,부전동,부전동 영화실비,부전동 영화실비 051-8056280
19,자연산붕어집,횟집,,부산광역시 부산진구 초읍동 273-17번지,부산광역시 부산진구 초읍천로108번길 91 (초읍동),386444.301253337,188412.282272529,영업/정상,,부산진구,초읍동,초읍동 자연산붕어집,초읍동 자연산붕어집 
20,대림식당,한식,051-8041387,부산광역시 부산진구 전포동 653-11번지,부산광역시 부산진구 서전로37번길 28 (전포동),387987.260431195,186388.796438447,영업/정상,,부산진구,전포동,전포동 대림식당,전포동 대림식당 051-8041387
21,한점,한식,051-8094010,부산광역시 부산진구 부전동 142-6,"부산광역시 부산진구 동천로107번길 19, 1,2층 (부전동)",387734.999703663,186280.978652678,영업/정상,https://pcmap.place.naver.com/restaurant/1816443517/review/visitor#,부산진구,부전동,부전동 한점,부전동 한점 051-8094010
22,마당쇠껍데기와 소금구이,식육(숯불구이),051-8078892,부산광역시 부산진구 초읍동 281-1,부산광역시 부산진구 새싹로 275 (초읍동),386401.716808448,188739.693938692,영업/정상,,부산진구,초읍동,초읍동 마당쇠껍데기와 소금구이,초읍동 마당쇠껍데기와 소금구이 051-8078892
23,꾸냥만두,분식,051-8941185,부산광역시 부산진구 개금동 566-30번지,,384148.679158752,184902.236990438,영업/정상,https://pcmap.place.naver.com/restaurant/16480651/review/visitor#,부산진구,개금동,개금동 꾸냥만두,개금동 꾸냥만두 051-8941185
24,맛있는분식,한식,051-8073119,부산광역시 부산진구 부암동 381-7,부산광역시 부산진구 당감로64번길 55 (부암동),385923.837620242,187364.982222739,영업/정상,,부산진구,부암동,부암동 맛있는분식,부암동 맛있는분식 051-8073119
25,대홍송루,중국식,051-816-7078,부산광역시 부산진구 연지동 233-12번지,부산광역시 부산진구 국악로28번길 6 (연지동),386961.936722712,187869.479737909,영업/정상,,부산진구,연지동,연지동 대홍송루,연지동 대홍송루 051-816-7078
26,정든집,한식,051-8060756,부산광역시 부산진구 부전동 521-24번지 1층,"부산광역시 부산진구 부전로20번길 32-7, 1층 (부전동)",387387.008083417,185755.836465926,영업/정상,https://pcmap.place.naver.com/restaurant/16443158/review/visitor#,부산진구,부전동,부전동 정든집,부전동 정든집 051-8060756
27,촉석루,한식,051-803-6757,부산광역시 부산진구 부전동 519-35번지,부산광역시 부산진구 중앙대로691번가길 24-14 (부전동),387294.898293532,185952.302890587,영업/정상,https://pcmap.place.naver.com/restaurant/16443783/review/visitor#,부산진구,부전동,부전동 촉석루,부전동 촉석루 051-803-6757
28,노가리앤비어,호프/통닭,,부산광역시 부산진구 가야동 265-4번지 (1층),"부산광역시 부산진구 가야대로588번길 10, 1층 (가야동)",385442.363830304,185787.797343237,영업/정상,https://pcmap.place.naver.com/restaurant/1028673605/review/visitor#,부산진구,가야동,가야동 노가리앤비어,가야동 노가리앤비어 
29,스모프치킨,호프/통닭,051-8067059,부산광역시 부산진구 당감동 1015번지,부산광역시 부산진구 가야대로 703 (당감동),386580.756993836,186150.516206779,영업/정상,https://pcmap.place.naver.com/restaurant/1135838336/review/visitor#,부산진구,당감동,당감동 스모프치킨,당감동 스모프치킨 051-8067059
30,일송초밥,일식,051-8053300,부산광역시 부산진구 부전동 520-38 지상1층,"부산광역시 부산진구 중앙대로691번길 52, 지상1층 (부전동)",387298.587015203,185875.599290113,영업/정상,https://pcmap.place.naver.com/restaurant/16442941/review/visitor#,부산진구,부전동,부전동 일송초밥,부전동 일송초밥 051-8053300
31,하동산곰장어,한식,,부산광역시 부산진구 부전동 262-10,부산광역시 부산진구 새싹로8번길 11 (부전동),387531.546025748,186382.140028003,영업/정상,https://pcmap.place.naver.com/restaurant/37970324/review/visitor#,부산진구,부전동,부전동 하동산곰장어,부전동 하동산곰장어 
32,어게인삼촌집본점,한식,051-806-9669,부산광역시 부산진구 부전동 233-7 지상1층,"부산광역시 부산진구 신천대로62번길 53, 지상1층 (부전동)",387488.941547834,185720.215521126,영업/정상,https://pcmap.place.naver.com/restaurant/1024863342/review/visitor#,부산진구,부전동,부전동 어게인삼촌집본점,부전동 어게인삼촌집본점 051-806-9669
33,츠허,한식,051-8055333,부산광역시 부산진구 전포동 339-32,부산광역시 부산진구 전포대로200번길 15 (전포동),388222.113308535,185905.568215232,영업/정상,https://pcmap.place.naver.com/restaurant/1056499954/review/visitor#,부산진구,전포동,전포동 츠허,전포동 츠허 051-8055333
34,청마루숯불갈비,식육(숯불구이),051-8523400,부산광역시 부산진구 양정동 271-55번지 (1층),"부산광역시 부산진구 연수로 23-1 (양정동,(1층))",388830.127892479,188076.110420176,영업/정상,,부산진구,양정동,양정동 청마루숯불갈비,양정동 청마루숯불갈비 051-8523400
35,영,한식,,부산광역시 부산진구 부전동 399-5,부산광역시 부산진구 새싹로 21-4 (부전동),387365.501105653,186442.86259746,영업/정상,,부산진구,부전동,부전동 영,부전동 영 
36,문현숯불곱창,한식,,부산광역시 부산진구 범천동 846-1,부산광역시 부산진구 골드테마길 43 (범천동),387655.691005994,184659.447354917,영업/정상,,부산진구,범천동,범천동 문현숯불곱창,범천동 문현숯불곱창 
37,포항물횟집,횟집,051-8085949,"부산광역시 부산진구 부전동 403-35번지 번지(지하1층,지상1,2,3층)","부산광역시 부산진구 새싹로29번길 14-7 (부전동,번지(지하1층,지상1,2,3층))",387271.26660689,186527.924657444,영업/정상,https://pcmap.place.naver.com/restaurant/19949289/review/visitor#,부산진구,부전동,부전동 포항물횟집,부전동 포항물횟집 051-8085949
38,두레박 산오징어,한식,051-8068366,부산광역시 부산진구 부전동 521-23번지,부산광역시 부산진구 서면로 29-10 (부전동),387400.455648521,185756.237719901,영업/정상,https://pcmap.place.naver.com/restaurant/16445460/review/visitor#,부산진구,부전동,부전동 두레박 산오징어,부전동 두레박 산오징어 051-8068366
39,대가호,중국식,051-8180798,부산광역시 부산진구 부전동 142-5번지,부산광역시 부산진구 서전로 13 (부전동),387751.455776768,186253.871909123,영업/정상,https://pcmap.place.naver.com/restaurant/11853189/review/visitor#,부산진구,부전동,부전동 대가호,부전동 대가호 051-8180798
40,황금마차서면전포점,식육(숯불구이),051-8059494,부산광역시 부산진구 전포동 189-45,부산광역시 부산진구 동성로 106 (전포동),388301.391162231,186466.910443027,영업/정상,https://pcmap.place.naver.com/restaurant/1258701243/review/visitor#,부산진구,전포동,전포동 황금마차서면전포점,전포동 황금마차서면전포점 051-8059494
41,하이안,기타,,부산광역시 부산진구 전포동 687-25번지,부산광역시 부산진구 서전로46번길 62-4 (전포동),388059.268988602,185941.257277709,영업/정상,https://pcmap.place.naver.com/restaurant/1157309225/review/visitor#,부산진구,전포동,전포동 하이안,전포동 하이안 
42,청년다방,한식,051-8656692,부산광역시 부산진구 양정동 364-1번지 (1층),"부산광역시 부산진구 양지로 8, 1층 (양정동)",388472.927007772,187559.473055344,영업/정상,,부산진구,양정동,양정동 청년다방,양정동 청년다방 051-8656692
43,배씨상회 서면점,식육(숯불구이),051-806-9080,부산광역시 부산진구 부전동 142-9,부산광역시 부산진구 동천로107번길 25 (부전동),387713.634108965,186272.815653487,영업/정상,https://pcmap.place.naver.com/restaurant/1604245895/review/visitor#,부산진구,부전동,부전동 배씨상회 서면점,부전동 배씨상회 서면점 051-806-9080
44,노크,호프/통닭,051-8060021,부산광역시 부산진구 부전동 521-22번지,부산광역시 부산진구 서면로 31 (부전동),387418.523565167,185756.921895913,영업/정상,,부산진구,부전동,부전동 노크,부전동 노크 051-8060021
45,다래삼계탕,한식,051-8037058,부산광역시 부산진구 부전동 346-48번지,부산광역시 부산진구 부전로 165-5 (부전동),387536.632662395,186814.966489502,영업/정상,,부산진구,부전동,부전동 다래삼계탕,부전동 다래삼계탕 051-8037058
46,대서양식당,한식,051-809-0190,부산광역시 부산진구 부전동 477-16번지,부산광역시 부산진구 부전로96번길 26 (부전동),387276.460302031,186315.344612055,영업/정상,,부산진구,부전동,부전동 대서양식당,부전동 대서양식당 051-809-0190
47,마라톤,한식,051-8065914,"부산광역시 부산진구 부전동 519-13번지 지상1,2층전체","부산광역시 부산진구 가야대로784번길 54 (부전동, 지상1,2층전체)",387375.628178124,185930.68664805,영업/정상,,부산진구,부전동,부전동 마라톤,부전동 마라톤 051-8065914
48,컨츄리꼬꼬,한식,051-8194609,부산광역시 부산진구 부전동 502-8,부산광역시 부산진구 부전로66번길 49 (부전동),387399.404556423,186032.959833868,영업/정상,,부산진구,부전동,부전동 컨츄리꼬꼬,부전동 컨츄리꼬꼬 051-8194609
49,마쯔리야,한식,,부산광역시 부산진구 부전동 516-14번지 지상2층,"부산광역시 부산진구 가야대로784번길 46-8, 지상2층 (부전동)",387345.605579434,185974.905485202,영업/정상,https://pcmap.place.naver.com/restaurant/16409004/review/visitor#,부산진구,부전동,부전동 마쯔리야,부전동 마쯔리야 
50,참숯막창구이,식육(숯불구이),051-819-3526,부산광역시 부산진구 개금동 195-17번지,부산광역시 부산진구 개금온정로 11 (개금동),384454.073464861,185781.14312504,영업/정상,https://pcmap.place.naver.com/restaurant/16800667/review/visitor#,부산진구,개금동,개금동 참숯막창구이,개금동 참숯막창구이 051-819-3526
51,삼천포횟집,횟집,,부산광역시 부산진구 개금동 549-12번지,부산광역시 부산진구 가야대로482번길 39 (개금동),384440.502490619,185443.730038221,영업/정상,,부산진구,개금동,개금동 삼천포횟집,개금동 삼천포횟집 
52,킨슈,한식,051-8160308,부산광역시 부산진구 전포동 337-15,부산광역시 부산진구 전포대로200번길 45-1 (전포동),388374.614925211,185909.738635858,영업/정상,https://pcmap.place.naver.com/restaurant/1911979719/review/visitor#,부산진구,전포동,전포동 킨슈,전포동 킨슈 051-8160308
53,할매집,한식,,부산광역시 부산진구 부전동 534-5번지,부산광역시 부산진구 서면로 10 (부전동),387482.739380339,185523.630647005,영업/정상,,부산진구,부전동,부전동 할매집,부전동 할매집 
54,진미소머리국밥,한식,070-89388528,부산광역시 부산진구 당감동 289-14번지,부산광역시 부산진구 동평로94번길 7 (당감동),385800.041019875,187019.162859501,영업/정상,https://pcmap.place.naver.com/restaurant/37180640/review/visitor#,부산진구,당감동,당감동 진미소머리국밥,당감동 진미소머리국밥 070-89388528
55,조방낙지볶음집,한식,051-8198390,부산광역시 부산진구 부전동 516-50번지,부산광역시 부산진구 가야대로784번길 46-4 (부전동),387362.453278241,185971.293295088,영업/정상,https://pcmap.place.naver.com/restaurant/16443309/review/visitor#,부산진구,부전동,부전동 조방낙지볶음집,부전동 조방낙지볶음집 051-8198390
56,차칸면옥,냉면집,051-8025057,부산광역시 부산진구 부전동 168-181,부산광역시 부산진구 중앙대로702번길 17 (부전동),387651.598147723,185976.559268781,영업/정상,https://pcmap.place.naver.com/restaurant/1710996892/review/visitor#,부산진구,부전동,부전동 차칸면옥,부전동 차칸면옥 051-8025057
57,조선칼국수,한식,051-8067019,부산광역시 부산진구 부전동 240-3번지 1층,"부산광역시 부산진구 서면로 38, 1층 (부전동)",387463.862195003,185819.741651369,영업/정상,,부산진구,부전동,부전동 조선칼국수,부전동 조선칼국수 051-8067019
58,송하식당,한식,051-8099270,부산광역시 부산진구 부전동 58-1,부산광역시 부산진구 중앙대로 795-1 (부전동),387867.103676258,186804.251248603,영업/정상,https://pcmap.place.naver.com/restaurant/1866356913/review/visitor#,부산진구,부전동,부전동 송하식당,부전동 송하식당 051-8099270
59,영월목장 식육식당,식육(숯불구이),051-851-9080,부산광역시 부산진구 양정동 391-2번지 (1층),"부산광역시 부산진구 동평로420번길 20 (양정동,(1층))",388482.740414113,187867.932214036,영업/정상,https://pcmap.place.naver.com/restaurant/16396912/review/visitor#,부산진구,양정동,양정동 영월목장 식육식당,양정동 영월목장 식육식당 051-851-9080
60,부전식당,한식,,부산광역시 부산진구 부전동 372-0번지,,,,영업/정상,,부산진구,부전동,부전동 부전식당,부전동 부전식당 
61,올드팝,호프/통닭,,부산광역시 부산진구 부전동 486-11,부산광역시 부산진구 서면문화로5번길 17 (부전동),387326.087571285,186269.409917691,영업/정상,,부산진구,부전동,부전동 올드팝,부전동 올드팝 
62,이세계,기타,,"부산광역시 부산진구 부전동 142-9 ,10","부산광역시 부산진구 동천로107번길 25 (부전동,,10)",387713.634108965,186272.815653487,영업/정상,https://pcmap.place.naver.com/restaurant/1438019797/review/visitor#,부산진구,부전동,부전동 이세계,부전동 이세계 
63,우리동네,한식,051-8035279,부산광역시 부산진구 부전동 263-5번지,부산광역시 부산진구 새싹로14번길 26 (부전동),387535.433928243,186478.03422516,영업/정상,,부산진구,부전동,부전동 우리동네,부전동 우리동네 051-8035279
64,직판장,호프/통닭,051-8665053,부산광역시 부산진구 양정동 393-17번지,부산광역시 부산진구 중앙대로909번길 8 (양정동),388473.867713581,187800.867308688,영업/정상,,부산진구,양정동,양정동 직판장,양정동 직판장 051-8665053
65,딥스,한식,051-816-7941,부산광역시 부산진구 부전동 187-6 지하1층,"부산광역시 부산진구 중앙대로680번가길 33-3, 지하1층 (부전동)",387687.063868058,185909.603134702,영업/정상,https://pcmap.place.naver.com/restaurant/1264818464/review/visitor#,부산진구,부전동,부전동 딥스,부전동 딥스 051-816-7941
66,명품병천순대,분식,051-896-2427,부산광역시 부산진구 당감동 515-6번지,부산광역시 부산진구 동평로 2 (당감동),384970.715832,186772.837506466,영업/정상,,부산진구,당감동,당감동 명품병천순대,당감동 명품병천순대 051-896-2427
67,내고향고로케,한식,051-853-9592,부산광역시 부산진구 양정동 360-8 (1층),"부산광역시 부산진구 양지로 21-1, 1층 (양정동)",388546.859921034,187441.961136774,영업/정상,https://pcmap.place.naver.com/restaurant/1140334443/review/visitor#,부산진구,양정동,양정동 내고향고로케,양정동 내고향고로케 051-853-9592
68,합천돼지국밥,한식,,부산광역시 부산진구 개금동 566-21번지,부산광역시 부산진구 엄광로44번길 36-2 (개금동),384146.762920686,184922.060111622,영업/정상,,부산진구,개금동,개금동 합천돼지국밥,개금동 합천돼지국밥 
69,본역고래홍어전문점,기타,051-8053410,부산광역시 부산진구 부전동 475-12번지,부산광역시 부산진구 부전로96번길 36 (부전동),387327.064275492,186320.465355276,영업/정상,https://pcmap.place.naver.com/restaurant/1672361362/review/visitor#,부산진구,부전동,부전동 본역고래홍어전문점,부전동 본역고래홍어전문점 051-8053410
70,골목집,한식,,부산광역시 부산진구 범천동 870-44번지,부산광역시 부산진구 중앙대로 613-7 (범천동),387503.063313403,185104.426929464,영업/정상,,부산진구,범천동,범천동 골목집,범천동 골목집 
71,오감 일식점,한식,051-806-1585,부산광역시 부산진구 부전동 520-38,부산광역시 부산진구 중앙대로691번길 52 (부전동),387298.587015203,185875.599290113,영업/정상,https://pcmap.place.naver.com/restaurant/1652991642/review/visitor#,부산진구,부전동,부전동 오감 일식점,부전동 오감 일식점 051-806-1585
72,성화숯불갈비,한식,051-6453337,부산광역시 부산진구 범천동 1144-24 외21,"부산광역시 부산진구 신암로155번길 44 (범천동, 외21번지)",386664.244494123,185601.150521582,영업/정상,,부산진구,범천동,범천동 성화숯불갈비,범천동 성화숯불갈비 051-6453337
73,남다른음식점,기타,051-891-7235,부산광역시 부산진구 가야동 416-9,부산광역시 부산진구 대학로 78 (가야동),385324.690961755,185186.037789491,영업/정상,,부산진구,가야동,가야동 남다른음식점,가야동 남다른음식점 051-891-7235
74,산청칼국수,분식,051-8189188,부산광역시 부산진구 초읍동 223-1번지,부산광역시 부산진구 성지로43번길 57 (초읍동),387016.611651288,188334.029085913,영업/정상,https://pcmap.place.naver.com/restaurant/16785885/review/visitor#,부산진구,초읍동,초읍동 산청칼국수,초읍동 산청칼국수 051-8189188
75,어사출또 부산본점,한식,051-8080584,부산광역시 부산진구 부전동 170-26 지상1층,"부산광역시 부산진구 중앙대로692번길 45-10, 지상1층 (부전동)",387803.814142766,185912.602267111,영업/정상,,부산진구,부전동,부전동 어사출또 부산본점,부전동 어사출또 부산본점 051-8080584
76,개화루,중국식,,부산광역시 부산진구 전포동 194-3번지,부산광역시 부산진구 서전로57번길 31 (전포동),388173.118394797,186399.923615802,영업/정상,https://pcmap.place.naver.com/restaurant/16459703/review/visitor#,부산진구,전포동,전포동 개화루,전포동 개화루 
77,시골돼지국밥,한식,051-6443452,부산광역시 부산진구 범천동 844-28번지,부산광역시 부산진구 골드테마길 54 (범천동),387675.590624346,184720.521023561,영업/정상,https://pcmap.place.naver.com/restaurant/1028916734/review/visitor#,부산진구,범천동,범천동 시골돼지국밥,범천동 시골돼지국밥 051-6443452
78,진주식당,한식,051646-6239,부산광역시 부산진구 범천동 847-31번지,부산광역시 부산진구 골드테마길 67 (범천동),387649.602584029,184779.598093566,영업/정상,,부산진구,범천동,범천동 진주식당,범천동 진주식당 051646-6239
79,무봤나촌닭서면롯데점,한식,051-806-5122,부산광역시 부산진구 부전동 519-1번지 지상1층,"부산광역시 부산진구 가야대로784번길 48, 지상1층 (부전동)",387378.006086139,185954.978066111,영업/정상,,부산진구,부전동,부전동 무봤나촌닭서면롯데점,부전동 무봤나촌닭서면롯데점 051-806-5122
80,카레온(양정점),경양식,,부산광역시 부산진구 양정동 352-17,부산광역시 부산진구 양지로5번길 49 (양정동),388597.745399224,187789.301152186,영업/정상,https://pcmap.place.naver.com/restaurant/1394562564/review/visitor#,부산진구,양정동,양정동 카레온(양정점),양정동 카레온(양정점) 
81,일신초밥,한식,051-8079083,"부산광역시 부산진구 부전동 395-21 번지(1층,2층)","부산광역시 부산진구 새싹로28번길 10 (부전동,번지(1층,2층))",387416.817250575,186500.933955071,영업/정상,https://pcmap.place.naver.com/restaurant/16435050/review/visitor#,부산진구,부전동,부전동 일신초밥,부전동 일신초밥 051-8079083
82,만포식당,한식,,부산광역시 부산진구 전포동 878-16번지,부산광역시 부산진구 동성로 149-5 (전포동),387885.697289714,186614.435902305,영업/정상,https://pcmap.place.naver.com/restaurant/1060638685/review/visitor#,부산진구,전포동,전포동 만포식당,전포동 만포식당 
83,서울만두,한식,,부산광역시 부산진구 범천동 850-0번지,,,,영업/정상,https://pcmap.place.naver.com/restaurant/19695848/review/visitor#,부산진구,범천동,범천동 서울만두,범천동 서울만두 
84,개미식당,한식,,부산광역시 부산진구 범천동 1252-0번지,,387075.954446493,185197.397366377,영업/정상,,부산진구,범천동,범천동 개미식당,범천동 개미식당 
85,진영곱창,한식,,부산광역시 부산진구 범천동 850-0번지,,,,영업/정상,https://pcmap.place.naver.com/restaurant/16777160/review/visitor#,부산진구,범천동,범천동 진영곱창,범천동 진영곱창 
86,무쇠김치삼겹 서면본점,한식,,부산광역시 부산진구 부전동 187-1,부산광역시 부산진구 중앙대로680번가길 33 (부전동),387702.922978854,185910.121636174,영업/정상,,부산진구,부전동,부전동 무쇠김치삼겹 서면본점,부전동 무쇠김치삼겹 서면본점 
87,울산식당,한식,,부산광역시 부산진구 부전동 535-10번지,부산광역시 부산진구 신천대로62번길 2 (부전동)[*미고시],387523.019466086,185458.235819993,영업/정상,,부산진구,부전동,부전동 울산식당,부전동 울산식당 
88,부부식당,한식,,부산광역시 부산진구 부전동 224-3번지,부산광역시 부산진구 중앙대로680번길 50 (부전동),387830.323483436,185742.980292644,영업/정상,,부산진구,부전동,부전동 부부식당,부전동 부부식당 
89,대도식당,한식,,부산광역시 부산진구 전포동 207-35번지,부산광역시 부산진구 전포대로224번길 5 (전포동),388166.147210938,186113.66948014,영업/정상,,부산진구,전포동,전포동 대도식당,전포동 대도식당 
90,고짚 서면본점,한식,051-8029589,부산광역시 부산진구 부전동 515-19,부산광역시 부산진구 부전로 64 (부전동),387181.899015333,185992.168200168,영업/정상,https://pcmap.place.naver.com/restaurant/1371712780/review/visitor#,부산진구,부전동,부전동 고짚 서면본점,부전동 고짚 서면본점 051-8029589
91,번영활어,횟집,051-8075422,부산광역시 부산진구 부전동 485-19번지,부산광역시 부산진구 서면문화로5번길 29 (부전동),387271.507465622,186260.7524376,영업/정상,,부산진구,부전동,부전동 번영활어,부전동 번영활어 051-8075422
92,현대국수,한식,051-8192244,부산광역시 부산진구 부전동 485-2,부산광역시 부산진구 서면문화로5번길 25 (부전동),387285.801195957,186271.794547987,영업/정상,https://pcmap.place.naver.com/restaurant/1959648131/review/visitor#,부산진구,부전동,부전동 현대국수,부전동 현대국수 051-8192244
93,일호집,한식,,부산광역시 부산진구 양정동 370-1번지,부산광역시 부산진구 거제대로60번길 31 (양정동),388448.483573711,187992.319042492,영업/정상,,부산진구,양정동,양정동 일호집,양정동 일호집 
94,찜고을,한식,,부산광역시 부산진구 부암동 401-4,부산광역시 부산진구 당감로64번길 30 (부암동),385805.812606358,187306.751367824,영업/정상,https://pcmap.place.naver.com/restaurant/37971412/review/visitor#,부산진구,부암동,부암동 찜고을,부암동 찜고을 
95,엉클비어,호프/통닭,051-805-1577,부산광역시 부산진구 전포동 631-2번지 (1층),"부산광역시 부산진구 동성로 139, 1층 (전포동)",387970.792531768,186572.179873858,영업/정상,https://pcmap.place.naver.com/restaurant/32566798/review/visitor#,부산진구,전포동,전포동 엉클비어,전포동 엉클비어 051-805-1577
96,화전국수,기타,051-8025057,부산광역시 부산진구 부전동 168-166번지 지상1층,"부산광역시 부산진구 중앙대로702번길 17-2, 지상1층 (부전동)",387662.41902697,185992.619658474,영업/정상,,부산진구,부전동,부전동 화전국수,부전동 화전국수 051-8025057
97,춘천유가네닭갈비,통닭(치킨),051-8674363,부산광역시 부산진구 양정동 364-4번지,부산광역시 부산진구 양지로 10 (양정동),388475.218368342,187547.256182014,영업/정상,,부산진구,양정동,양정동 춘천유가네닭갈비,양정동 춘천유가네닭갈비 051-8674363
98,킹콩부대찌개(롯데점),한식,051-804-8582,부산광역시 부산진구 부전동 519-2번지,부산광역시 부산진구 가야대로784번길 46-1 (부전동),387369.23419168,185955.139028349,영업/정상,,부산진구,부전동,부전동 킹콩부대찌개(롯데점),부전동 킹콩부대찌개(롯데점) 051-804-8582
99,봉황당 스테이크,경양식,051-8024061,부산광역시 부산진구 부전동 189-8,부산광역시 부산진구 중앙대로692번길 15 (부전동),387656.380112613,185879.350748477,영업/정상,https://pcmap.place.naver.com/restaurant/1230341659/review/visitor#,부산진구,부전동,부전동 봉황당 스테이크,부전동 봉황당 스테이크 051-8024061
