,사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
72,터틀스톤,경양식,07042455500,부산광역시 부산진구 전포동 356-28,"부산광역시 부산진구 서전로68번길 120, 지상1일부층 (전포동)",388301.122504433,185648.975063567,영업/정상,,부산진구,전포동,전포동 터틀스톤,전포동 터틀스톤 07042455500
73,마라가족훠궈,중국식,,부산광역시 부산진구 부암동 746 서면동일파크스위트 3차,"부산광역시 부산진구 동평로 162, 상가 1동 202호 (부암동, 서면동일파크스위트 3차)",386443.082710801,186982.262716528,영업/정상,,부산진구,부암동,부암동 마라가족훠궈,부암동 마라가족훠궈 
74,통큰삼겹불타는막창,식육(숯불구이),,부산광역시 부산진구 범천동 851-1번지 대원아파트,"부산광역시 부산진구 황령대로18번길 37, 대원아파트 1동 1층 1호 (범천동)",387834.714347587,184965.427400521,영업/정상,,부산진구,범천동,범천동 통큰삼겹불타는막창,범천동 통큰삼겹불타는막창 
75,또레세치킨,호프/통닭,051-8917977,부산광역시 부산진구 가야동 460-17번지 지하1층,"부산광역시 부산진구 가야대로552번길 137, 지하1층 (가야동)",385305.90604238,185082.436977785,영업/정상,,부산진구,가야동,가야동 또레세치킨,가야동 또레세치킨 051-8917977
76,대룡,중국식,,부산광역시 부산진구 개금동 53-3번지 개금주공상가,"부산광역시 부산진구 백양관문로 3, 개금주공상가 지하1층 6호 (개금동)",385002.870304631,186361.24583842,영업/정상,,부산진구,개금동,개금동 대룡,개금동 대룡 
77,동신,한식,051-853-1490,부산광역시 부산진구 양정동 107-47번지,"부산광역시 부산진구 연수로 24-1, 2층 (양정동)",388876.595699089,188033.66418553,영업/정상,,부산진구,양정동,양정동 동신,양정동 동신 051-853-1490
78,피자비토랩연지점,경양식,,부산광역시 부산진구 연지동 71-15 보금자리,"부산광역시 부산진구 성지로 20, 1층 (연지동, 보금자리)",387163.134686502,187846.645811,영업/정상,,부산진구,연지동,연지동 피자비토랩연지점,연지동 피자비토랩연지점 
79,보드게임공간미니빌,기타,,부산광역시 부산진구 부전동 168-451번지,"부산광역시 부산진구 중앙대로702번길 43, 3층 (부전동)",387772.924812945,186000.085967975,영업/정상,,부산진구,부전동,부전동 보드게임공간미니빌,부전동 보드게임공간미니빌 
80,프리아트,경양식,051-8188886,부산광역시 부산진구 부전동 224-22 1층,"부산광역시 부산진구 중앙대로680번길 40, 1층 (부전동)",387775.967911781,185732.717496793,영업/정상,,부산진구,부전동,부전동 프리아트,부전동 프리아트 051-8188886
81,트래포드,기타,,부산광역시 부산진구 전포동 197-2,"부산광역시 부산진구 전포대로246번길 13-10, 지상1층 (전포동)",388223.392442385,186375.095740553,영업/정상,,부산진구,전포동,전포동 트래포드,전포동 트래포드 
82,집밥생각,기타,,부산광역시 부산진구 당감동 303-4번지,"부산광역시 부산진구 당감로50번길 29, 지상1층 (당감동)",385843.58408072,187152.763630525,영업/정상,,부산진구,당감동,당감동 집밥생각,당감동 집밥생각 
83,가마치통닭 당감점,호프/통닭,051-893-7292,부산광역시 부산진구 당감동 500-33번지,"부산광역시 부산진구 당감서로 15, 1층 (당감동)",385448.419909005,186686.631060654,영업/정상,,부산진구,당감동,당감동 가마치통닭 당감점,당감동 가마치통닭 당감점 051-893-7292
84,본도시락,김밥(도시락),051-807-4282,부산광역시 부산진구 부전동 401-9 1층,"부산광역시 부산진구 새싹로 37, 1층 (부전동)",387291.825060303,186565.839830454,영업/정상,,부산진구,부전동,부전동 본도시락,부전동 본도시락 051-807-4282
85,우럭만,횟집,051-8962999,부산광역시 부산진구 개금동 540-190번지 지상1층일부,"부산광역시 부산진구 엄광로 59 (개금동, 지상1층일부)",384261.247840906,185097.280755831,영업/정상,,부산진구,개금동,개금동 우럭만,개금동 우럭만 051-8962999
86,두꺼비포차,한식,051-8982194,부산광역시 부산진구 가야동 50-30번지,"부산광역시 부산진구 가야대로 633, 지하1층 (가야동)",385909.526149452,185978.114115853,영업/정상,,부산진구,가야동,가야동 두꺼비포차,가야동 두꺼비포차 051-8982194
87,혜화동돈까스극장,경양식,051-5058656,부산광역시 부산진구 범천동 851-1번지,"부산광역시 부산진구 황령대로18번길 43, 1층 7,4-3호 (범천동, 대원상가)",387834.714347587,184965.427400521,영업/정상,,부산진구,범천동,범천동 혜화동돈까스극장,범천동 혜화동돈까스극장 051-5058656
88,태호네양꼬지,호프/통닭,051-6371090,부산광역시 부산진구 범천동 848-22,"부산광역시 부산진구 황령대로8번길 60, 1층 (범천동)",387650.117487165,184826.016766299,영업/정상,,부산진구,범천동,범천동 태호네양꼬지,범천동 태호네양꼬지 051-6371090
89,산청보리밥,한식,051-6365550,부산광역시 부산진구 범천동 849-21번지,"부산광역시 부산진구 황령대로8번길 30, 1층 (범천동)",387672.411623583,184974.110405625,영업/정상,,부산진구,범천동,범천동 산청보리밥,범천동 산청보리밥 051-6365550
90,베트남쌀국수 퍼란,"외국음식전문점(인도,태국등)",,부산광역시 부산진구 부전동 194-4번지 지상2층,"부산광역시 부산진구 중앙대로692번길 4, 지상2층 (부전동)",387592.498591515,185853.631453576,영업/정상,,부산진구,부전동,부전동 베트남쌀국수 퍼란,부전동 베트남쌀국수 퍼란 
91,후라이드참잘하는집개금가야점,호프/통닭,,부산광역시 부산진구 개금동 177-7 지상1층일부,"부산광역시 부산진구 복지로13번길 52 (개금동, 지상1층일부)",384286.374564009,185514.101772676,영업/정상,,부산진구,개금동,개금동 후라이드참잘하는집개금가야점,개금동 후라이드참잘하는집개금가야점 
92,신보성,중국식,051-8186377,부산광역시 부산진구 연지동 354-8번지 지상1층전부,"부산광역시 부산진구 동평로183번길 86-8 (연지동, 지상1층전부)",386616.818950717,187648.734153685,영업/정상,,부산진구,연지동,연지동 신보성,연지동 신보성 051-8186377
93,초원복국,한식,051-6386660,부산광역시 부산진구 범천동 839-30번지,"부산광역시 부산진구 자유평화로 21-10, 2층 (범천동)",387888.098037854,184474.987686036,영업/정상,,부산진구,범천동,범천동 초원복국,범천동 초원복국 051-6386660
94,교촌치킨,통닭(치킨),,부산광역시 부산진구 양정동 310-6번지,"부산광역시 부산진구 연수로 13-1, 1층 (양정동)",388764.550722025,188024.592955413,영업/정상,,부산진구,양정동,양정동 교촌치킨,양정동 교촌치킨 
95,홍가떡,분식,051-897-5552,부산광역시 부산진구 개금동 171-164번지,"부산광역시 부산진구 복지로13번길 78, 1층 (개금동)",384419.746451853,185518.994912813,영업/정상,,부산진구,개금동,개금동 홍가떡,개금동 홍가떡 051-897-5552
96,이모밥줘,한식,051-902-0014,부산광역시 부산진구 전포동 178-47,"부산광역시 부산진구 동성로112번길 27, 1층 일부호 (전포동)",388266.05424413,186615.779844581,영업/정상,,부산진구,전포동,전포동 이모밥줘,전포동 이모밥줘 051-902-0014
97,자연별곡엔씨서면점,한식,051-7947330,부산광역시 부산진구 전포동 668-1,"부산광역시 부산진구 동천로 92, 5층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 자연별곡엔씨서면점,전포동 자연별곡엔씨서면점 051-7947330
98,피자몰엔씨서면점,경양식,051-7947304,부산광역시 부산진구 전포동 668-1,"부산광역시 부산진구 동천로 92, 6층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 피자몰엔씨서면점,전포동 피자몰엔씨서면점 051-7947304
99,애슐리퀸즈엔씨서면점,경양식,051-7947300,부산광역시 부산진구 전포동 668-1,"부산광역시 부산진구 동천로 92, 5층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 애슐리퀸즈엔씨서면점,전포동 애슐리퀸즈엔씨서면점 051-7947300
100,호면왕,분식,,부산광역시 부산진구 전포동 668-1번지,"부산광역시 부산진구 동천로 92, 1층 (전포동, 엔씨)",387920.292113406,186157.316240541,영업/정상,,부산진구,전포동,전포동 호면왕,전포동 호면왕 
101,모루식당,한식,,부산광역시 부산진구 전포동 680-20번지,"부산광역시 부산진구 서전로38번길 37, 1층 (전포동)",388001.521090776,186040.724723462,영업/정상,,부산진구,전포동,전포동 모루식당,전포동 모루식당 
