사업장명,업태구분명,소재지전화,소재지전체주소,도로명전체주소,좌표정보(x),좌표정보(y),영업상태명,naver_map_url,구,동,검색어,검색어2
남다른 썬치킨 당감1호점,호프/통닭,,부산광역시 부산진구 당감동 308-1,"부산광역시 부산진구 당감로60번길 16-5, 1층 (당감동)",385739.337437843,187237.497930403,영업/정상,,부산진구,당감동,당감동 남다른 썬치킨 당감1호점,당감동 남다른 썬치킨 당감1호점 
하엔홍,한식,,부산광역시 부산진구 개금동 501-3,"부산광역시 부산진구 복지로8번길 18, 2층 16호 (개금동)",383940.229489297,185507.025656272,영업/정상,,부산진구,개금동,개금동 하엔홍,개금동 하엔홍 
더리터 초읍점,기타,,부산광역시 부산진구 초읍동 171-12,"부산광역시 부산진구 성지로 156, 1층 (초읍동)",386450.321989111,188910.428749794,영업/정상,,부산진구,초읍동,초읍동 더리터 초읍점,초읍동 더리터 초읍점 
갈비와 껍데기,일식,,부산광역시 부산진구 초읍동 215-15,"부산광역시 부산진구 성지로 76, 1층 (초읍동)",387064.444150633,188401.327019764,영업/정상,,부산진구,초읍동,초읍동 갈비와 껍데기,초읍동 갈비와 껍데기 
오계절밀면,냉면집,,부산광역시 부산진구 당감동 888-23,"부산광역시 부산진구 동평로116번길 10, 1층 (당감동)",385985.971947122,187064.356778246,영업/정상,,부산진구,당감동,당감동 오계절밀면,당감동 오계절밀면 
대호푸드,중국식,,부산광역시 부산진구 양정동 361-1,"부산광역시 부산진구 양지로11번길 16, 1층 (양정동)",388551.555118044,187567.403851048,영업/정상,,부산진구,양정동,양정동 대호푸드,양정동 대호푸드 
코베야,한식,,부산광역시 부산진구 전포동 197-39,"부산광역시 부산진구 전포대로246번길 13-8, 1층 (전포동)",388234.445431884,186371.20610788,영업/정상,,부산진구,전포동,전포동 코베야,전포동 코베야 
인정후라이드 당감점,호프/통닭,,부산광역시 부산진구 당감동 699-75,"부산광역시 부산진구 당감서로 114, 2층 (당감동)",385260.006102464,187447.409604779,영업/정상,,부산진구,당감동,당감동 인정후라이드 당감점,당감동 인정후라이드 당감점 
우모레,기타,,부산광역시 부산진구 전포동 340-33,"부산광역시 부산진구 동성로39번길 30-7, 1층 (전포동)",388250.077456848,185865.263110187,영업/정상,,부산진구,전포동,전포동 우모레,전포동 우모레 
꾸브라꼬 숯불두마리치킨 범천,호프/통닭,,부산광역시 부산진구 범천동 1230-72,"부산광역시 부산진구 신암로 91, 1층 (범천동)",386989.905265455,185272.103135223,영업/정상,,부산진구,범천동,범천동 꾸브라꼬 숯불두마리치킨 범천,범천동 꾸브라꼬 숯불두마리치킨 범천 
니사,기타,,부산광역시 부산진구 전포동 671-12,"부산광역시 부산진구 전포대로223번길 10, 2층 (전포동)",388055.928824455,186110.426562633,영업/정상,,부산진구,전포동,전포동 니사,전포동 니사 
호미스피자 서면점,기타,,부산광역시 부산진구 연지동 168-3 위너카운빌,"부산광역시 부산진구 동평로223번길 15, 위너카운빌 1층 (연지동)",386769.821405807,187546.715595321,영업/정상,,부산진구,연지동,연지동 호미스피자 서면점,연지동 호미스피자 서면점 
연어육회전문점,한식,,부산광역시 부산진구 전포동 187-53,"부산광역시 부산진구 동성로96번길 22, 1층 (전포동)",388425.764033594,186476.66086374,영업/정상,,부산진구,전포동,전포동 연어육회전문점,전포동 연어육회전문점 
프로젝트 렌트 전포점,기타,,부산광역시 부산진구 전포동 345-5,"부산광역시 부산진구 전포대로 190, A동 1층 (전포동)",388176.520726944,185797.515055001,영업/정상,,부산진구,전포동,전포동 프로젝트 렌트 전포점,전포동 프로젝트 렌트 전포점 
기프티(giftea),기타,,부산광역시 부산진구 범천동 854-2 범내골역 이즈팰리스,"부산광역시 부산진구 황령대로18번길 22, 1층 103호 (범천동, 범내골역 이즈팰리스)",387762.113298105,185058.674186918,영업/정상,,부산진구,범천동,범천동 기프티(giftea),범천동 기프티(giftea) 
슬림비빔밥,한식,,부산광역시 부산진구 부전동 188-2,"부산광역시 부산진구 중앙대로680번가길 33-9, 1층 (부전동)",387660.333915067,185905.033929907,영업/정상,,부산진구,부전동,부전동 슬림비빔밥,부전동 슬림비빔밥 
굿위크,기타,,부산광역시 부산진구 전포동 359-37,"부산광역시 부산진구 동성로15번길 12, 1층 (전포동)",388351.908329127,185593.83620634,영업/정상,,부산진구,전포동,전포동 굿위크,전포동 굿위크 
불막열삼(전포점),식육(숯불구이),,부산광역시 부산진구 전포동 162-3,"부산광역시 부산진구 동성로112번길 95, 1층 (전포동)",388292.721219079,186938.533636097,영업/정상,,부산진구,전포동,전포동 불막열삼(전포점),전포동 불막열삼(전포점) 
양정맛국,한식,,부산광역시 부산진구 양정동 389-14,"부산광역시 부산진구 거제대로60번길 36, 1층 (양정동)",388442.990612831,187955.22193947,영업/정상,,부산진구,양정동,양정동 양정맛국,양정동 양정맛국 
낙지명가 아낙촌 개금점,중국식,,부산광역시 부산진구 개금동 551-1,"부산광역시 부산진구 냉정로 233-1, 2층 (개금동)",384480.157789434,185446.4324994,영업/정상,,부산진구,개금동,개금동 낙지명가 아낙촌 개금점,개금동 낙지명가 아낙촌 개금점 
북샵(Book Shop),기타,,부산광역시 부산진구 전포동 359-65,"부산광역시 부산진구 동성로 15, 1층 (전포동)",388398.2580948,185596.387008635,영업/정상,,부산진구,전포동,전포동 북샵(Book Shop),전포동 북샵(Book Shop) 
굿손 전포점,"외국음식전문점(인도,태국등)",,부산광역시 부산진구 전포동 357-20,"부산광역시 부산진구 동성로25번길 15, 1층 (전포동)",388332.219133941,185672.73006413,영업/정상,,부산진구,전포동,전포동 굿손 전포점,전포동 굿손 전포점 
GWC 갱상남도 위스키클럽,기타,,부산광역시 부산진구 전포동 233-2,"부산광역시 부산진구 동성로61번길 11, 2층 (전포동)",388354.729992335,186015.078311223,영업/정상,,부산진구,전포동,전포동 GWC 갱상남도 위스키클럽,전포동 GWC 갱상남도 위스키클럽 
전포 상제씨,한식,,부산광역시 부산진구 전포동 337-1,"부산광역시 부산진구 동성로49번길 3, 1층 (전포동)",388382.932029946,185927.494418032,영업/정상,,부산진구,전포동,전포동 전포 상제씨,전포동 전포 상제씨 
거북이 동네 당감점,한식,,부산광역시 부산진구 당감동 405,"부산광역시 부산진구 동평로 82, 1층 (당감동)",385649.077595188,187008.241977687,영업/정상,,부산진구,당감동,당감동 거북이 동네 당감점,당감동 거북이 동네 당감점 
동대앞 신석쇠구이 개금점,한식,,부산광역시 부산진구 개금동 523-19,"부산광역시 부산진구 복지로 24, 1층 (개금동)",384002.914304271,185407.375920736,영업/정상,,부산진구,개금동,개금동 동대앞 신석쇠구이 개금점,개금동 동대앞 신석쇠구이 개금점 
웅이네 포천버섯육개장,중국식,051-8683635,부산광역시 부산진구 양정동 248-7,"부산광역시 부산진구 중앙대로989번길 54, 1~2층 (양정동)",388710.568749281,188607.125017797,영업/정상,,부산진구,양정동,양정동 웅이네 포천버섯육개장,양정동 웅이네 포천버섯육개장 051-8683635
픽피자,한식,,부산광역시 부산진구 전포동 587 서면롯데캐슬스카이,"부산광역시 부산진구 전포대로275번길 20, 102동 108호 (전포동, 서면롯데캐슬스카이)",388023.6240017,186739.937553674,영업/정상,,부산진구,전포동,전포동 픽피자,전포동 픽피자 
또먼새하우스,경양식,,부산광역시 부산진구 부전동 256-6,"부산광역시 부산진구 서면로 56, 2층 (부전동)",387468.48013598,185990.346086723,영업/정상,,부산진구,부전동,부전동 또먼새하우스,부전동 또먼새하우스 
삼첩분식(서면점),한식,,부산광역시 부산진구 전포동 294-2,"부산광역시 부산진구 서전로68번길 25, 2층 (전포동)",388301.246355447,186122.249254852,영업/정상,,부산진구,전포동,전포동 삼첩분식(서면점),전포동 삼첩분식(서면점) 
동구커피,기타,,부산광역시 부산진구 가야동 450-7,"부산광역시 부산진구 대학로 68-4, 3층 302호 (가야동)",385303.206221297,185308.426785291,영업/정상,,부산진구,가야동,가야동 동구커피,가야동 동구커피 
아일랑트,기타,,부산광역시 부산진구 전포동 653-12,"부산광역시 부산진구 서전로37번길 28-5, 1층 (전포동)",388003.084612556,186386.571480713,영업/정상,,부산진구,전포동,전포동 아일랑트,전포동 아일랑트 
다로숲,기타,,부산광역시 부산진구 초읍동 206-1,"부산광역시 부산진구 성지로113번길 29, 1층 (초읍동)",386829.267418212,188549.68930388,영업/정상,,부산진구,초읍동,초읍동 다로숲,초읍동 다로숲 
취기,기타,,부산광역시 부산진구 부전동 168-439,"부산광역시 부산진구 동천로85번길 14-5, 2층 (부전동)",387761.53444197,186094.03074415,영업/정상,,부산진구,부전동,부전동 취기,부전동 취기 
4계절카페,기타,051-928-5858,부산광역시 부산진구 부전동 351-15,"부산광역시 부산진구 부전로152번길 37, 1층 (부전동)",387470.585266871,186539.870504411,영업/정상,,부산진구,부전동,부전동 4계절카페,부전동 4계절카페 051-928-5858
건강한집밥다미,한식,,부산광역시 부산진구 전포동 897 전포엘에이치,"부산광역시 부산진구 중앙대로 862, 상가동 지하1층 110호 (전포동, 전포엘에이치)",388330.552125342,187245.877827153,영업/정상,,부산진구,전포동,전포동 건강한집밥다미,전포동 건강한집밥다미 
당감 연탄 꼬리고기,중국식,,부산광역시 부산진구 당감동 241-19,"부산광역시 부산진구 백양대로68번길 30, 1층 (당감동)",385968.08118832,186828.554299104,영업/정상,,부산진구,당감동,당감동 당감 연탄 꼬리고기,당감동 당감 연탄 꼬리고기 
히스피,기타,,부산광역시 부산진구 개금동 551-1,"부산광역시 부산진구 냉정로 233-1, 2층 (개금동)",384480.157789434,185446.4324994,영업/정상,,부산진구,개금동,개금동 히스피,개금동 히스피 
제이제이푸드,기타,,부산광역시 부산진구 가야동 659-10,"부산광역시 부산진구 복지로47번길 65, 1층 (가야동)",384388.876932489,185237.269671582,영업/정상,,부산진구,가야동,가야동 제이제이푸드,가야동 제이제이푸드 
우리할매떡볶이 개금점,분식,,부산광역시 부산진구 개금동 875 개금역금강펜테리움더스퀘어아파트,"부산광역시 부산진구 가야대로 450, 상가동 B201호 (개금동, 개금역금강펜테리움더스퀘어아파트)",384088.228147214,185576.536475982,영업/정상,,부산진구,개금동,개금동 우리할매떡볶이 개금점,개금동 우리할매떡볶이 개금점 
무야,일식,,부산광역시 부산진구 전포동 347-38,"부산광역시 부산진구 전포대로186번길 21-1, 2층 (전포동)",388264.184608863,185733.860888079,영업/정상,,부산진구,전포동,전포동 무야,전포동 무야 
NALO,일식,,부산광역시 부산진구 전포동 354-40,"부산광역시 부산진구 전포대로186번길 36-1, 2층 (전포동)",388335.803555824,185711.850320391,영업/정상,,부산진구,전포동,전포동 NALO,전포동 NALO 
전포명지,한식,,부산광역시 부산진구 전포동 355-7,"부산광역시 부산진구 전포대로186번길 18, 1층 (전포동)",388238.79988834,185714.29666743,영업/정상,,부산진구,전포동,전포동 전포명지,전포동 전포명지 
챔치,일식,,부산광역시 부산진구 부전동 168-399,"부산광역시 부산진구 중앙대로680번가길 80-16, 1층 (부전동)",387767.890497657,186114.266171683,영업/정상,,부산진구,부전동,부전동 챔치,부전동 챔치 
더퀸(The Queen),한식,,부산광역시 부산진구 양정동 399-24,"부산광역시 부산진구 거제대로36번길 11, 2층 (양정동)",388341.578194256,187811.511949778,영업/정상,,부산진구,양정동,양정동 더퀸(The Queen),양정동 더퀸(The Queen) 
멕시카나 양정점,한식,,부산광역시 부산진구 양정동 362-11,"부산광역시 부산진구 양지로 7, 2층 (양정동)",388493.594075292,187578.532791306,영업/정상,,부산진구,양정동,양정동 멕시카나 양정점,양정동 멕시카나 양정점 
환수림식당 서면점,한식,,부산광역시 부산진구 부전동 515-1,"부산광역시 부산진구 부전로66번길 12, 1층 103호 (부전동)",387215.372321888,186001.54583588,영업/정상,,부산진구,부전동,부전동 환수림식당 서면점,부전동 환수림식당 서면점 
삼양분식,한식,,부산광역시 부산진구 가야동 454-54,"부산광역시 부산진구 대학로 74, 1층 (가야동)",385319.482857399,185240.561399953,영업/정상,,부산진구,가야동,가야동 삼양분식,가야동 삼양분식 
시안에프앤비(F&B),기타,,부산광역시 부산진구 범전동 450 삼한골든뷰 센트럴파크,"부산광역시 부산진구 중앙대로 821, 201동 235호 (범전동, 삼한골든뷰 센트럴파크)",387939.473018603,187062.522735753,영업/정상,,부산진구,범전동,범전동 시안에프앤비(F&B),범전동 시안에프앤비(F&B) 
영월댁,기타,,부산광역시 부산진구 부전동 256-6,"부산광역시 부산진구 서면로 56, 1층 타 8,9호 (부전동)",387468.48013598,185990.346086723,영업/정상,,부산진구,부전동,부전동 영월댁,부전동 영월댁 
수라상,한식,,부산광역시 부산진구 부전동 198-2,"부산광역시 부산진구 중앙대로680번가길 5, 3층 (부전동)",387706.787420175,185777.289103842,영업/정상,,부산진구,부전동,부전동 수라상,부전동 수라상 
먹꼬만닭,호프/통닭,,부산광역시 부산진구 양정동 178-2,"부산광역시 부산진구 중앙대로979번길 32, 1층 (양정동)",388750.379011002,188468.778650333,영업/정상,,부산진구,양정동,양정동 먹꼬만닭,양정동 먹꼬만닭 
고더샵,기타,,부산광역시 부산진구 전포동 206-27 현대전기,"부산광역시 부산진구 서전로 60, 현대전기 1층 (전포동)",388201.404589991,186228.465809774,영업/정상,,부산진구,전포동,전포동 고더샵,전포동 고더샵 
동녘,기타,,부산광역시 부산진구 전포동 334-46,"부산광역시 부산진구 서전로68번길 55, 지하1층 (전포동)",388302.676640699,185973.556151933,영업/정상,,부산진구,전포동,전포동 동녘,전포동 동녘 
놀이터(PLAYGROUND),기타,,부산광역시 부산진구 전포동 196-9,"부산광역시 부산진구 전포대로256번길 28, 1층 일부호 (전포동)",388265.790431878,186417.009908112,영업/정상,,부산진구,전포동,전포동 놀이터(PLAYGROUND),전포동 놀이터(PLAYGROUND) 
울엄마곱창,식육(숯불구이),,부산광역시 부산진구 초읍동 207-6,"부산광역시 부산진구 성지로 97-1, 1층 (초읍동)",386910.053965469,188576.462570345,영업/정상,,부산진구,초읍동,초읍동 울엄마곱창,초읍동 울엄마곱창 
퀸시,기타,,부산광역시 부산진구 가야동 48-158,"부산광역시 부산진구 가야대로614번길 62, 1층 (가야동)",386023.809482921,185942.45477204,영업/정상,,부산진구,가야동,가야동 퀸시,가야동 퀸시 
택이네 조개전골 부산1호 개금점,한식,,부산광역시 부산진구 개금동 1-12 동원화인패밀리타운,"부산광역시 부산진구 백양관문로77번길 6, 동원화인패밀리타운 107동 201호 (개금동)",384760.050983195,186820.5021645,영업/정상,,부산진구,개금동,개금동 택이네 조개전골 부산1호 개금점,개금동 택이네 조개전골 부산1호 개금점 
가마치통닭 범천점,호프/통닭,,부산광역시 부산진구 범천동 1647 서면 DS·협성 엘리시안 아파트,"부산광역시 부산진구 만리산로 11, 101호 (범천동, 서면 DS·협성 엘리시안 아파트)",387106.159006692,184676.416705259,영업/정상,,부산진구,범천동,범천동 가마치통닭 범천점,범천동 가마치통닭 범천점 
카페 까미노,경양식,,부산광역시 부산진구 전포동 346-10,"부산광역시 부산진구 전포대로 180-3, 1-2층 (전포동)",388176.851298573,185674.844919759,영업/정상,,부산진구,전포동,전포동 카페 까미노,전포동 카페 까미노 
고민석원조불오뎅가마솥떡볶이,한식,,부산광역시 부산진구 당감동 241-12,"부산광역시 부산진구 당감로16번길 39-3, 1층 (당감동)",385947.714051053,186855.994412289,영업/정상,,부산진구,당감동,당감동 고민석원조불오뎅가마솥떡볶이,당감동 고민석원조불오뎅가마솥떡볶이 
바오나이트마켓,기타,,부산광역시 부산진구 전포동 207-89,"부산광역시 부산진구 서전로58번길 18-1, 1~2층 (전포동)",388176.769196151,186154.043918792,영업/정상,,부산진구,전포동,전포동 바오나이트마켓,전포동 바오나이트마켓 
코코로스터스,기타,,부산광역시 부산진구 부전동 197-3,"부산광역시 부산진구 중앙대로680번길 680, 1층 (부전동)",387597.486318085,185757.555098041,영업/정상,,부산진구,부전동,부전동 코코로스터스,부전동 코코로스터스 
월하미인,기타,,부산광역시 부산진구 부전동 168-399,"부산광역시 부산진구 중앙대로680번가길 80-16, 3층 (부전동)",387767.890497657,186114.266171683,영업/정상,,부산진구,부전동,부전동 월하미인,부전동 월하미인 
엄마손국수,분식,,부산광역시 부산진구 초읍동 225 성지맨션,"부산광역시 부산진구 성지로83번길 11, 성지맨션 1층 4호 (초읍동)",386953.124436278,188391.856055915,영업/정상,,부산진구,초읍동,초읍동 엄마손국수,초읍동 엄마손국수 
구땡식당,한식,,부산광역시 부산진구 전포동 663-9,"부산광역시 부산진구 동천로108번길 41, 1층  35호 (전포동)",388055.172899541,186310.970592972,영업/정상,,부산진구,전포동,전포동 구땡식당,전포동 구땡식당 
은성이네양곱창,기타,,부산광역시 부산진구 가야동 631-2,"부산광역시 부산진구 가야공원로14번길 59, 1층 (가야동)",384580.949180893,185518.718521531,영업/정상,,부산진구,가야동,가야동 은성이네양곱창,가야동 은성이네양곱창 
지지무디,경양식,,부산광역시 부산진구 전포동 193-22,"부산광역시 부산진구 동성로 119-8, 1층 (전포동)",388149.423293186,186485.964453314,영업/정상,,부산진구,전포동,전포동 지지무디,전포동 지지무디 
소평온,기타,,부산광역시 부산진구 부전동 394-6,"부산광역시 부산진구 부전로 136, 1층 (부전동)",387304.001987254,186626.693744751,영업/정상,,부산진구,부전동,부전동 소평온,부전동 소평온 
뜨빠케,한식,,부산광역시 부산진구 전포동 312-2,"부산광역시 부산진구 전포대로210번길 6, 1층 (전포동)",388170.530035231,185968.78355794,영업/정상,,부산진구,전포동,전포동 뜨빠케,전포동 뜨빠케 
탐식,기타,,부산광역시 부산진구 전포동 642-4,"부산광역시 부산진구 전포대로255번길 8, 2층 (전포동)",388082.949428439,186430.675231363,영업/정상,,부산진구,전포동,전포동 탐식,전포동 탐식 
파도림,기타,,부산광역시 부산진구 전포동 307-10,"부산광역시 부산진구 서전로58번길 37, 1층 (전포동)",388205.156049402,186054.966231999,영업/정상,,부산진구,전포동,전포동 파도림,전포동 파도림 
류아포마라탕,일식,,부산광역시 부산진구 부전동 242-2,"부산광역시 부산진구 서면로68번길 42, 1층 (부전동)",387479.269731355,185930.964373725,영업/정상,,부산진구,부전동,부전동 류아포마라탕,부전동 류아포마라탕 
행복한상,한식,,부산광역시 부산진구 양정동 394-7 창운빌딩,"부산광역시 부산진구 동평로406번길 71, 창운빌딩 1층 (양정동)",388420.915182378,187684.513908006,영업/정상,,부산진구,양정동,양정동 행복한상,양정동 행복한상 
복성,한식,,부산광역시 부산진구 전포동 878-8,"부산광역시 부산진구 동천로 136-1, 1층 (전포동)",387850.082549634,186596.57397453,영업/정상,,부산진구,전포동,전포동 복성,전포동 복성 
비비큐연지점,호프/통닭,,부산광역시 부산진구 연지동 338-134,"부산광역시 부산진구 동평로183번길 144, 1층 (연지동)",386512.286413468,187914.116409772,영업/정상,,부산진구,연지동,연지동 비비큐연지점,연지동 비비큐연지점 
돈갓,호프/통닭,,부산광역시 부산진구 가야동 167-6,"부산광역시 부산진구 가야대로 528, 1층 (가야동)",384901.697618096,185676.111752069,영업/정상,,부산진구,가야동,가야동 돈갓,가야동 돈갓 
차돌풍당감점,식육(숯불구이),,부산광역시 부산진구 당감동 362-10,"부산광역시 부산진구 동평로 64, 2층 (당감동)",385484.29650043,186987.89234613,영업/정상,,부산진구,당감동,당감동 차돌풍당감점,당감동 차돌풍당감점 
타코비 서면2호점,일식,,부산광역시 부산진구 부전동 190-1,"부산광역시 부산진구 서전로10번길 69, 1층 101(일부)호 (부전동)",387642.047151482,185901.54959248,영업/정상,,부산진구,부전동,부전동 타코비 서면2호점,부전동 타코비 서면2호점 
타코비,일식,,부산광역시 부산진구 부전동 183-1 쥬디스태화신관,"부산광역시 부산진구 서전로10번길 61, 쥬디스태화신관 1층 106(일부)호 (부전동)",387700.368139369,185954.871302846,영업/정상,,부산진구,부전동,부전동 타코비,부전동 타코비 
"오,토끼",한식,,부산광역시 부산진구 가야동 298-9,"부산광역시 부산진구 가야대로572번가길 2, 1층 (가야동)",385314.244988034,185718.235951876,영업/정상,,부산진구,가야동,"가야동 오,토끼","가야동 오,토끼 "
대박난유황생오리,식육(숯불구이),,부산광역시 부산진구 부전동 262-4,"부산광역시 부산진구 중앙대로743번길 17, 1층 (부전동)",387550.173338045,186408.172578567,영업/정상,,부산진구,부전동,부전동 대박난유황생오리,부전동 대박난유황생오리 
로타리국밥,기타,,부산광역시 부산진구 부전동 142-8 신전빌딩,"부산광역시 부산진구 서전로 11-1, 신전빌딩 1층 (부전동)",387733.848223483,186259.810701269,영업/정상,,부산진구,부전동,부전동 로타리국밥,부전동 로타리국밥 
이모야밥집,한식,,부산광역시 부산진구 개금동 615-15 수협개금동지점,"부산광역시 부산진구 엄광로 13, 수협개금동지점 1층 (개금동)",383798.786545769,185113.022178613,영업/정상,,부산진구,개금동,개금동 이모야밥집,개금동 이모야밥집 
아르베(ARVE COFFEE),경양식,,부산광역시 부산진구 전포동 355-3,"부산광역시 부산진구 서전로68번길 110, 1층 (전포동)",388298.805777284,185696.478683206,영업/정상,,부산진구,전포동,전포동 아르베(ARVE COFFEE),전포동 아르베(ARVE COFFEE) 
비주류,한식,,부산광역시 부산진구 전포동 347-41,"부산광역시 부산진구 전포대로186번길 17, 2층 (전포동)",388243.882598456,185737.444831029,영업/정상,,부산진구,전포동,전포동 비주류,전포동 비주류 
갈비의전설(부산진구점),기타,,부산광역시 부산진구 당감동 305-22,"부산광역시 부산진구 당감로50번길 6, 1층 (당감동)",385733.363059514,187111.069834306,영업/정상,,부산진구,당감동,당감동 갈비의전설(부산진구점),당감동 갈비의전설(부산진구점) 
고빨,기타,,부산광역시 부산진구 전포동 313-101,"부산광역시 부산진구 동성로49번길 38, 1층 (전포동)",388221.019809186,185935.854621131,영업/정상,,부산진구,전포동,전포동 고빨,전포동 고빨 
커피콜121,기타,,부산광역시 부산진구 개금동 1-20,"부산광역시 부산진구 백양관문로77번길 41, 1, 2층 (개금동)",384676.627461258,186885.257027002,영업/정상,,부산진구,개금동,개금동 커피콜121,개금동 커피콜121 
우삼겹 비빔국수,한식,,부산광역시 부산진구 양정동 186-5,"부산광역시 부산진구 진연로9번길 39, 1층 (양정동)",388787.622557897,188388.790442428,영업/정상,,부산진구,양정동,양정동 우삼겹 비빔국수,양정동 우삼겹 비빔국수 
정희네,한식,,부산광역시 부산진구 전포동 379-20,"부산광역시 부산진구 황령대로74번길 37, 1층 (전포동)",388344.844606726,185170.099548527,영업/정상,,부산진구,전포동,전포동 정희네,전포동 정희네 
만세통닭,호프/통닭,,부산광역시 부산진구 가야동 13-1,"부산광역시 부산진구 가야대로668번길 20, 1층 (가야동)",386210.530455067,185922.714902719,영업/정상,,부산진구,가야동,가야동 만세통닭,가야동 만세통닭 
감동먹태,기타,,부산광역시 부산진구 전포동 308-10,"부산광역시 부산진구 전포대로210번길 15-1, 1층 (전포동)",388231.427586299,185995.941143873,영업/정상,,부산진구,전포동,전포동 감동먹태,전포동 감동먹태 
피플웍스(PEOPLE WORKS),기타,,부산광역시 부산진구 전포동 305-7,"부산광역시 부산진구 서전로68번길 24, 1층 (전포동)",388280.80242496,186130.534307972,영업/정상,,부산진구,전포동,전포동 피플웍스(PEOPLE WORKS),전포동 피플웍스(PEOPLE WORKS) 
푸드스토리,한식,,부산광역시 부산진구 전포동 205-63,"부산광역시 부산진구 서전로 70, 지하1층 (전포동)",388299.910367353,186232.696658402,영업/정상,,부산진구,전포동,전포동 푸드스토리,전포동 푸드스토리 
가야골산장가든,한식,,부산광역시 부산진구 가야동 472,"부산광역시 부산진구 가야공원로 77-9, 1층 (가야동)",384888.64684399,184883.32306333,영업/정상,,부산진구,가야동,가야동 가야골산장가든,가야동 가야골산장가든 
롯데한식뷔페,한식,,부산광역시 부산진구 부암동 537,"부산광역시 부산진구 백양순환로 105, 2층 (부암동)",385665.406745772,187568.051045932,영업/정상,,부산진구,부암동,부암동 롯데한식뷔페,부암동 롯데한식뷔페 
소미,일식,,부산광역시 부산진구 전포동 591-8,"부산광역시 부산진구 동성로 136, 1층 101 일부호 (전포동)",388037.947378996,186602.739832314,영업/정상,,부산진구,전포동,전포동 소미,전포동 소미 
정성한상,한식,,부산광역시 부산진구 양정동 361-1,"부산광역시 부산진구 양지로11번길 16, 1층 (양정동)",388551.555118044,187567.403851048,영업/정상,,부산진구,양정동,양정동 정성한상,양정동 정성한상 
컵플(CUPPLE),기타,,부산광역시 부산진구 전포동 347-41,"부산광역시 부산진구 전포대로186번길 17, 1층 (전포동)",388243.882598456,185737.444831029,영업/정상,,부산진구,전포동,전포동 컵플(CUPPLE),전포동 컵플(CUPPLE) 
BBQ 부산연지스마트점,호프/통닭,,부산광역시 부산진구 초읍동 221-6,"부산광역시 부산진구 성지로 65-1, 1층 (초읍동)",387068.341335307,188301.020904567,영업/정상,,부산진구,초읍동,초읍동 BBQ 부산연지스마트점,초읍동 BBQ 부산연지스마트점 
드시고사시고,한식,,부산광역시 부산진구 양정동 389-17,"부산광역시 부산진구 중앙대로909번길 37, 1층 (양정동)",388443.999932583,187934.352125986,영업/정상,,부산진구,양정동,양정동 드시고사시고,양정동 드시고사시고 
싸돼지의 품격,식육(숯불구이),,부산광역시 부산진구 부암동 80-23,"부산광역시 부산진구 시민공원로19번길 38-14, 1층 (부암동)",386908.068911146,186998.721231974,영업/정상,,부산진구,부암동,부암동 싸돼지의 품격,부암동 싸돼지의 품격 
캠퍼스컵밥,기타,,부산광역시 부산진구 부전동 227-2 삼정타워,"부산광역시 부산진구 중앙대로 672, 삼정타워 5층 517호 (부전동)",387608.014165034,185703.079007724,영업/정상,,부산진구,부전동,부전동 캠퍼스컵밥,부전동 캠퍼스컵밥 
포그(POGG),경양식,,부산광역시 부산진구 전포동 204-6,"부산광역시 부산진구 동성로87번길 9, 2층 (전포동)",388336.495997514,186272.961080369,영업/정상,,부산진구,전포동,전포동 포그(POGG),전포동 포그(POGG) 
노모어,기타,,부산광역시 부산진구 전포동 300-50,"부산광역시 부산진구 동성로71번길 32, 1층 (전포동)",388235.778456939,186154.186888861,영업/정상,,부산진구,전포동,전포동 노모어,전포동 노모어 
미카페(MECAFE),기타,,부산광역시 부산진구 부암동 724-2 당감트리플타워C,"부산광역시 부산진구 백양산로53번길 12, 당감트리플타워C C동 101호 (부암동)",384910.466926104,187935.041819501,영업/정상,,부산진구,부암동,부암동 미카페(MECAFE),부암동 미카페(MECAFE) 
컵스시야,한식,,부산광역시 부산진구 양정동 361-1,"부산광역시 부산진구 양지로11번길 16, 1층 (양정동)",388551.555118044,187567.403851048,영업/정상,,부산진구,양정동,양정동 컵스시야,양정동 컵스시야 
차박사얼큰이,한식,,부산광역시 부산진구 양정동 361-25,"부산광역시 부산진구 양지로 13-1, 1층 (양정동)",388516.029554927,187511.652447976,영업/정상,,부산진구,양정동,양정동 차박사얼큰이,양정동 차박사얼큰이 
행담,일식,,부산광역시 부산진구 전포동 657-4,"부산광역시 부산진구 서전로37번길 49-12, 에비뉴엘4 1층 101호 (전포동)",387922.928223865,186511.483018314,영업/정상,,부산진구,전포동,전포동 행담,전포동 행담 
미미,기타,,부산광역시 부산진구 부전동 168-399,"부산광역시 부산진구 중앙대로680번가길 80-16, 2층 (부전동)",387767.890497657,186114.266171683,영업/정상,,부산진구,부전동,부전동 미미,부전동 미미 
족발신선생 부산초읍점,한식,,부산광역시 부산진구 초읍동 278-35,"부산광역시 부산진구 새싹로 255, 1층 (초읍동)",386456.881754822,188547.511478221,영업/정상,,부산진구,초읍동,초읍동 족발신선생 부산초읍점,초읍동 족발신선생 부산초읍점 
그레이풀,기타,,부산광역시 부산진구 전포동 373-3,"부산광역시 부산진구 황령대로74번길 10, 1층 (전포동)",388319.063960488,185304.901228618,영업/정상,,부산진구,전포동,전포동 그레이풀,전포동 그레이풀 
